,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
176,Alexandre Lacazette,30.8,18.0,4.0,1.0,29.0,31.0,22.0,1923.0,21.4,13.0,2.0,10.0,0.61,0.09,0.7,0.47,0.56,9.7,7.4,2.7,10.1,0.46,0.13,0.58,0.35,0.47,25.0,19.0,6.0,12.0,7.0,4.0,16.0,25.0,12.0,329.0,107.0,32.5,40.0,135.0,154.0,17.0,2.0,0.0,15.0,14.0,39.0,13.0,0.0,410.0,524.0,78.2,6066.0,1247.0,225.0,283.0,79.5,135.0,158.0,85.4,27.0,44.0,61.4,-0.7,18.0,24.0,21.0,0.0,46.0
177,Pierre-Emerick Aubameyang,27.5,19.0,4.0,1.0,31.0,29.0,26.0,2332.0,25.9,10.0,3.0,8.0,0.39,0.12,0.5,0.31,0.42,10.6,9.1,2.8,11.9,0.41,0.11,0.52,0.35,0.46,17.0,5.0,8.0,7.0,2.0,4.0,20.0,20.0,16.0,344.0,83.0,24.1,57.0,144.0,143.0,26.0,2.0,0.0,24.0,6.0,23.0,14.0,0.0,518.0,691.0,75.0,7883.0,1507.0,289.0,355.0,81.4,183.0,238.0,76.9,28.0,51.0,54.9,0.2,22.0,18.0,27.0,9.0,50.0
178,Eddie Nketiah,17.6,16.0,4.0,1.0,21.0,17.0,4.0,423.0,4.7,2.0,1.0,2.0,0.43,0.21,0.64,0.43,0.64,2.4,2.4,0.8,3.3,0.52,0.18,0.7,0.52,0.7,4.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,109.0,14.0,12.8,10.0,51.0,48.0,7.0,2.0,0.0,5.0,1.0,5.0,4.0,0.0,73.0,89.0,82.0,1014.0,102.0,48.0,59.0,81.4,20.0,24.0,83.3,3.0,3.0,100.0,0.2,5.0,3.0,2.0,0.0,3.0
183,Tyrone Mings,33.0,16.0,1.0,2.0,27.0,36.0,36.0,3194.0,35.5,2.0,2.0,2.0,0.06,0.06,0.11,0.06,0.11,1.9,1.9,0.6,2.5,0.05,0.02,0.07,0.05,0.07,33.0,18.0,24.0,7.0,2.0,14.0,26.0,53.8,12.0,252.0,71.0,28.2,146.0,87.0,19.0,84.0,47.0,1.0,37.0,38.0,71.0,230.0,5.0,1262.0,1585.0,79.6,29862.0,11824.0,288.0,324.0,88.9,707.0,768.0,92.1,257.0,462.0,55.6,1.4,7.0,120.0,6.0,2.0,108.0
184,Ezri Konsa,27.5,16.0,1.0,2.0,22.0,36.0,35.0,3196.0,35.5,2.0,0.0,2.0,0.06,0.0,0.06,0.06,0.06,2.1,2.1,0.2,2.3,0.06,0.01,0.07,0.06,0.07,34.0,22.0,23.0,10.0,1.0,11.0,19.0,57.9,8.0,225.0,71.0,31.6,129.0,83.0,13.0,65.0,45.0,0.0,20.0,27.0,61.0,193.0,0.0,1076.0,1244.0,86.5,24314.0,5977.0,250.0,284.0,88.0,615.0,658.0,93.5,202.0,280.0,72.1,-0.2,1.0,38.0,2.0,0.0,36.0
185,Kortney Hause,5.5,16.0,1.0,2.0,25.0,7.0,7.0,630.0,7.0,1.0,0.0,1.0,0.14,0.0,0.14,0.14,0.14,1.2,1.2,0.0,1.2,0.17,0.0,0.17,0.17,0.17,5.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,39.0,14.0,35.9,24.0,14.0,1.0,6.0,4.0,0.0,2.0,12.0,17.0,65.0,0.0,169.0,216.0,78.2,3950.0,1252.0,39.0,47.0,83.0,91.0,103.0,88.3,37.0,62.0,59.7,0.0,0.0,11.0,0.0,0.0,10.0
187,Matt Targett,18.7,16.0,1.0,2.0,24.0,38.0,38.0,3404.0,37.8,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,0.2,0.2,3.1,3.4,0.01,0.08,0.09,0.01,0.09,97.0,57.0,51.0,30.0,16.0,52.0,98.0,53.1,46.0,425.0,131.0,30.8,219.0,136.0,70.0,81.0,18.0,0.0,63.0,47.0,144.0,126.0,1.0,1653.0,2147.0,77.0,30781.0,15309.0,738.0,825.0,89.5,659.0,828.0,79.6,217.0,400.0,54.3,-1.1,44.0,159.0,53.0,15.0,222.0
189,Matty Cash,24.2,16.0,1.0,2.0,22.0,28.0,28.0,2372.0,26.4,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,78.0,44.0,41.0,29.0,8.0,34.0,76.0,44.7,42.0,446.0,127.0,28.5,232.0,168.0,46.0,77.0,15.0,0.0,62.0,49.0,127.0,110.0,2.0,959.0,1298.0,73.9,18616.0,6966.0,394.0,440.0,89.5,412.0,517.0,79.7,141.0,307.0,45.9,-0.2,22.0,78.0,24.0,16.0,64.0
191,Ahmed Elmohamady,1.65,15.0,1.0,2.0,32.0,14.0,8.0,839.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.05,0.07,0.12,0.05,0.12,18.0,13.0,10.0,4.0,4.0,6.0,10.0,60.0,4.0,74.0,28.0,37.8,39.0,26.0,9.0,15.0,4.0,0.0,11.0,27.0,45.0,32.0,0.0,464.0,594.0,78.1,8879.0,3641.0,193.0,210.0,91.9,200.0,257.0,77.8,66.0,113.0,58.4,-0.6,13.0,36.0,26.0,8.0,48.0
192,Douglas Luiz,38.5,7.0,7.0,2.0,22.0,33.0,32.0,2781.0,30.9,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,1.5,1.5,1.5,3.0,0.05,0.05,0.1,0.05,0.1,63.0,43.0,28.0,30.0,5.0,18.0,61.0,29.5,43.0,617.0,160.0,25.9,240.0,304.0,73.0,60.0,18.0,0.0,42.0,33.0,96.0,49.0,0.0,1213.0,1431.0,84.8,25157.0,5670.0,426.0,472.0,90.3,536.0,596.0,89.9,226.0,302.0,74.8,0.5,19.0,127.0,15.0,3.0,106.0
