,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
228,Eberechi Eze,22.0,16.0,7.0,6.0,22.0,34.0,29.0,2559.0,28.4,4.0,6.0,4.0,0.14,0.21,0.35,0.14,0.35,2.2,2.2,2.8,5.1,0.08,0.1,0.18,0.08,0.18,38.0,22.0,18.0,14.0,6.0,14.0,36.0,38.9,22.0,319.0,91.0,28.5,89.0,162.0,68.0,32.0,3.0,0.0,29.0,29.0,67.0,6.0,0.0,918.0,1158.0,79.3,14737.0,4359.0,503.0,564.0,89.2,297.0,360.0,82.5,85.0,174.0,48.9,3.2,39.0,77.0,32.0,3.0,111.0
229,Wilfried Zaha,49.5,8.0,4.0,6.0,27.0,30.0,29.0,2612.0,29.0,11.0,2.0,9.0,0.38,0.07,0.45,0.31,0.38,7.5,5.9,3.3,9.2,0.26,0.11,0.37,0.2,0.32,34.0,24.0,15.0,14.0,5.0,9.0,30.0,30.0,21.0,568.0,139.0,24.5,108.0,274.0,186.0,21.0,0.0,0.0,21.0,27.0,61.0,2.0,0.0,590.0,778.0,75.8,8928.0,2221.0,347.0,426.0,81.5,178.0,218.0,81.7,42.0,69.0,60.9,-1.3,27.0,29.0,36.0,5.0,72.0
230,Andros Townsend,7.7,16.0,9.0,6.0,29.0,34.0,25.0,2258.0,25.1,1.0,5.0,1.0,0.04,0.2,0.24,0.04,0.24,2.3,2.3,3.7,6.0,0.09,0.15,0.24,0.09,0.24,69.0,36.0,39.0,20.0,10.0,26.0,92.0,28.3,66.0,533.0,134.0,25.1,242.0,201.0,90.0,61.0,2.0,0.0,59.0,48.0,117.0,12.0,0.0,587.0,864.0,67.9,10358.0,3963.0,299.0,354.0,84.5,180.0,243.0,74.1,85.0,207.0,41.1,1.3,39.0,42.0,40.0,20.0,75.0
232,Christian Benteke,9.9,5.0,4.0,6.0,29.0,30.0,21.0,1816.0,20.2,10.0,1.0,10.0,0.5,0.05,0.55,0.5,0.55,8.1,8.1,1.0,9.1,0.4,0.05,0.45,0.4,0.45,13.0,9.0,1.0,5.0,7.0,0.0,8.0,0.0,8.0,240.0,57.0,23.8,16.0,129.0,95.0,17.0,6.0,1.0,11.0,5.0,18.0,37.0,0.0,366.0,573.0,63.9,5051.0,990.0,217.0,326.0,66.6,103.0,171.0,60.2,21.0,30.0,70.0,0.0,15.0,25.0,14.0,2.0,33.0
233,Jordan Ayew,8.8,21.0,6.0,6.0,28.0,33.0,23.0,2096.0,23.3,1.0,3.0,1.0,0.04,0.13,0.17,0.04,0.17,2.4,2.4,0.7,3.0,0.1,0.03,0.13,0.1,0.13,52.0,33.0,8.0,28.0,16.0,14.0,45.0,31.1,31.0,678.0,159.0,23.5,143.0,347.0,188.0,29.0,2.0,0.0,27.0,29.0,81.0,12.0,0.0,514.0,654.0,78.6,7192.0,1223.0,319.0,372.0,85.8,146.0,185.0,78.9,23.0,41.0,56.1,2.3,12.0,12.0,14.0,2.0,36.0
237,Michael Keane,27.5,16.0,1.0,7.0,27.0,35.0,33.0,2991.0,33.2,3.0,1.0,3.0,0.09,0.03,0.12,0.09,0.12,1.2,1.2,1.1,2.3,0.04,0.03,0.07,0.04,0.07,31.0,15.0,23.0,6.0,2.0,12.0,34.0,35.3,22.0,204.0,70.0,34.3,131.0,64.0,9.0,74.0,38.0,0.0,36.0,43.0,74.0,198.0,2.0,1631.0,1835.0,88.9,37031.0,11779.0,355.0,391.0,90.8,939.0,989.0,94.9,307.0,414.0,74.2,-0.1,8.0,104.0,6.0,0.0,87.0
238,Ben Godfrey,27.5,16.0,1.0,7.0,22.0,31.0,29.0,2685.0,29.8,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,56.0,29.0,40.0,14.0,2.0,25.0,39.0,64.1,14.0,370.0,115.0,31.1,237.0,110.0,23.0,85.0,39.0,1.0,46.0,45.0,101.0,135.0,0.0,1102.0,1302.0,84.6,21710.0,5735.0,378.0,428.0,88.3,566.0,621.0,91.1,138.0,206.0,67.0,1.5,1.0,58.0,5.0,2.0,51.0
239,Mason Holgate,22.0,16.0,1.0,7.0,23.0,28.0,26.0,2287.0,25.4,1.0,0.0,1.0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.6,1.4,0.03,0.03,0.06,0.03,0.06,65.0,38.0,38.0,20.0,7.0,22.0,55.0,40.0,33.0,316.0,97.0,30.7,162.0,115.0,39.0,55.0,13.0,0.0,42.0,41.0,106.0,110.0,3.0,945.0,1200.0,78.8,21912.0,7615.0,246.0,282.0,87.2,485.0,564.0,86.0,210.0,335.0,62.7,-0.6,9.0,59.0,12.0,4.0,67.0
240,Yerry Mina,22.0,11.0,1.0,7.0,25.0,24.0,23.0,1937.0,21.5,2.0,0.0,2.0,0.09,0.0,0.09,0.09,0.09,1.3,1.3,0.0,1.3,0.06,0.0,0.06,0.06,0.06,25.0,12.0,19.0,6.0,0.0,7.0,10.0,70.0,3.0,148.0,43.0,29.1,101.0,45.0,2.0,38.0,26.0,0.0,12.0,13.0,38.0,130.0,1.0,1115.0,1227.0,90.9,23055.0,6367.0,294.0,313.0,93.9,634.0,664.0,95.5,160.0,214.0,74.8,0.0,0.0,49.0,0.0,0.0,45.0
243,Lucas Digne,38.5,18.0,1.0,7.0,27.0,30.0,30.0,2681.0,29.8,0.0,7.0,0.0,0.0,0.23,0.23,0.0,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.2,0.02,0.2,78.0,40.0,53.0,14.0,11.0,29.0,50.0,58.0,21.0,412.0,106.0,25.7,195.0,141.0,76.0,59.0,4.0,0.0,55.0,26.0,104.0,96.0,0.0,1225.0,1690.0,72.5,22044.0,8899.0,578.0,664.0,87.0,488.0,631.0,77.3,135.0,307.0,44.0,1.6,44.0,63.0,37.0,26.0,108.0
244,Niels Nkounkou,3.3,18.0,2.0,7.0,19.0,2.0,1.0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,4.0,0.0,2.0,1.0,1.0,1.0,6.0,16.7,5.0,29.0,7.0,24.1,8.0,14.0,7.0,5.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,27.0,34.0,79.4,480.0,107.0,15.0,15.0,100.0,8.0,10.0,80.0,4.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,2.0
245,Jonjoe Kenny,6.38,16.0,1.0,7.0,23.0,4.0,1.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,1.0,9.1,4.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,47.0,61.0,77.0,783.0,221.0,28.0,29.0,96.6,13.0,20.0,65.0,6.0,8.0,75.0,0.0,0.0,3.0,1.0,0.0,4.0
247,Jean-Philippe Gbamin,16.5,8.0,7.0,7.0,24.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,9.0,66.7,122.0,36.0,3.0,4.0,75.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0
249,Abdoulaye Doucouré,27.5,18.0,7.0,7.0,27.0,29.0,29.0,2443.0,27.1,2.0,3.0,2.0,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,56.0,42.0,30.0,19.0,7.0,17.0,45.0,37.8,28.0,544.0,158.0,29.0,228.0,219.0,97.0,43.0,9.0,0.0,34.0,35.0,91.0,29.0,1.0,1146.0,1333.0,86.0,20026.0,4093.0,517.0,588.0,87.9,482.0,534.0,90.3,117.0,147.0,79.6,0.8,18.0,69.0,21.0,1.0,65.0
250,Allan,24.2,7.0,7.0,7.0,29.0,24.0,23.0,2051.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,75.0,54.0,39.0,33.0,3.0,28.0,94.0,29.8,66.0,673.0,191.0,28.4,269.0,360.0,44.0,39.0,13.0,0.0,26.0,23.0,98.0,30.0,0.0,899.0,1048.0,85.8,16984.0,4349.0,369.0,401.0,92.0,382.0,428.0,89.3,129.0,178.0,72.5,-0.9,16.0,91.0,15.0,1.0,82.0
251,André Gomes,22.0,42.0,7.0,7.0,27.0,28.0,17.0,1570.0,17.4,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,0.5,0.5,1.0,1.4,0.03,0.05,0.08,0.03,0.08,48.0,34.0,22.0,23.0,3.0,19.0,58.0,32.8,39.0,369.0,119.0,32.2,124.0,186.0,59.0,30.0,1.0,0.0,29.0,15.0,63.0,9.0,0.0,750.0,901.0,83.2,14845.0,3523.0,309.0,353.0,87.5,309.0,354.0,87.3,120.0,170.0,70.6,0.0,15.0,82.0,13.0,2.0,80.0
252,Tom Davies,19.8,16.0,7.0,7.0,22.0,25.0,17.0,1423.0,15.8,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,1.0,1.1,0.01,0.06,0.07,0.01,0.07,33.0,28.0,21.0,11.0,1.0,10.0,40.0,25.0,30.0,272.0,91.0,33.5,115.0,123.0,34.0,21.0,8.0,0.0,13.0,34.0,67.0,30.0,1.0,573.0,684.0,83.8,10963.0,2685.0,236.0,264.0,89.4,252.0,284.0,88.7,78.0,107.0,72.9,0.0,7.0,43.0,7.0,2.0,47.0
253,Fabian Delph,3.85,16.0,8.0,7.0,30.0,8.0,2.0,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,5.0,2.0,3.0,2.0,0.0,1.0,2.0,50.0,1.0,30.0,6.0,20.0,12.0,18.0,0.0,4.0,0.0,0.0,4.0,4.0,9.0,3.0,0.0,206.0,234.0,88.0,3586.0,937.0,94.0,100.0,94.0,91.0,98.0,92.9,18.0,31.0,58.1,-0.1,2.0,15.0,1.0,0.0,15.0
255,James Rodríguez,30.8,11.0,6.0,7.0,29.0,23.0,21.0,1764.0,19.6,6.0,4.0,6.0,0.31,0.2,0.51,0.31,0.51,3.4,3.4,5.4,8.8,0.17,0.28,0.45,0.17,0.45,20.0,14.0,5.0,12.0,3.0,8.0,43.0,18.6,35.0,250.0,61.0,24.4,75.0,118.0,57.0,24.0,0.0,0.0,24.0,16.0,36.0,1.0,0.0,879.0,1111.0,79.1,18324.0,5584.0,359.0,415.0,86.5,313.0,361.0,86.7,190.0,290.0,65.5,-1.4,43.0,104.0,41.0,7.0,132.0
257,Alex Iwobi,24.2,36.0,5.0,7.0,24.0,30.0,17.0,1542.0,17.1,1.0,2.0,1.0,0.06,0.12,0.18,0.06,0.18,1.1,1.1,1.8,2.9,0.06,0.11,0.17,0.06,0.17,33.0,21.0,16.0,15.0,2.0,14.0,27.0,51.9,13.0,224.0,73.0,32.6,93.0,72.0,59.0,22.0,1.0,0.0,21.0,18.0,51.0,12.0,0.0,530.0,688.0,77.0,9911.0,2938.0,213.0,242.0,88.0,234.0,291.0,80.4,69.0,113.0,61.1,0.2,16.0,35.0,26.0,9.0,73.0
258,Bernard,13.2,7.0,9.0,7.0,27.0,12.0,3.0,455.0,5.1,1.0,0.0,1.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.7,0.9,0.04,0.13,0.18,0.04,0.18,5.0,4.0,1.0,2.0,2.0,3.0,12.0,25.0,9.0,79.0,18.0,22.8,26.0,35.0,18.0,9.0,0.0,0.0,9.0,7.0,12.0,3.0,0.0,216.0,272.0,79.4,3591.0,923.0,108.0,122.0,88.5,81.0,102.0,79.4,21.0,29.0,72.4,-0.7,10.0,21.0,11.0,2.0,23.0
259,Anthony Gordon,5.5,16.0,6.0,7.0,19.0,3.0,1.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,3.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,18.0,3.0,16.7,5.0,9.0,4.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,22.0,26.0,84.6,365.0,94.0,12.0,13.0,92.3,8.0,8.0,100.0,2.0,4.0,50.0,0.0,1.0,1.0,2.0,0.0,3.0
262,Joshua King,8.8,38.0,9.0,7.0,28.0,11.0,0.0,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.48,0.0,0.48,0.48,0.48,4.0,1.0,2.0,0.0,2.0,1.0,1.0,100.0,0.0,44.0,11.0,25.0,14.0,17.0,13.0,3.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,34.0,48.0,70.8,561.0,108.0,16.0,23.0,69.6,15.0,18.0,83.3,3.0,4.0,75.0,0.0,0.0,0.0,1.0,0.0,4.0
263,Richarlison,60.5,7.0,4.0,7.0,23.0,34.0,33.0,2861.0,31.8,7.0,3.0,6.0,0.22,0.09,0.31,0.19,0.28,11.5,10.7,3.2,13.8,0.36,0.1,0.46,0.34,0.44,49.0,30.0,27.0,18.0,4.0,13.0,42.0,31.0,29.0,574.0,143.0,24.9,130.0,240.0,204.0,33.0,3.0,0.0,30.0,20.0,69.0,38.0,0.0,534.0,772.0,69.2,8273.0,1745.0,297.0,375.0,79.2,186.0,261.0,71.3,36.0,62.0,58.1,-0.2,25.0,24.0,14.0,1.0,42.0
272,Jamaal Lascelles,14.3,16.0,1.0,14.0,26.0,19.0,19.0,1625.0,18.1,2.0,0.0,2.0,0.11,0.0,0.11,0.11,0.11,1.0,1.0,0.0,1.0,0.05,0.0,0.06,0.05,0.06,19.0,12.0,11.0,6.0,2.0,4.0,6.0,66.7,2.0,148.0,53.0,35.8,89.0,52.0,7.0,39.0,18.0,2.0,21.0,15.0,34.0,108.0,1.0,487.0,599.0,81.3,10618.0,3333.0,130.0,146.0,89.0,274.0,300.0,91.3,79.0,141.0,56.0,0.0,1.0,30.0,5.0,0.0,32.0
273,Jamaal Lascelles,14.3,16.0,1.0,14.0,26.0,19.0,19.0,1625.0,18.1,2.0,0.0,2.0,0.11,0.0,0.11,0.11,0.11,1.0,1.0,0.0,1.0,0.05,0.0,0.06,0.05,0.06,19.0,12.0,11.0,6.0,2.0,4.0,6.0,66.7,2.0,148.0,53.0,35.8,89.0,52.0,7.0,39.0,18.0,2.0,21.0,15.0,34.0,108.0,1.0,487.0,599.0,81.3,10618.0,3333.0,130.0,146.0,89.0,274.0,300.0,91.3,79.0,141.0,56.0,0.0,1.0,30.0,5.0,0.0,32.0
274,Fabian Schär,9.9,48.0,1.0,14.0,28.0,18.0,13.0,1246.0,13.8,1.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,1.2,0.4,0.0,0.4,0.08,0.0,0.09,0.03,0.03,19.0,9.0,14.0,5.0,0.0,7.0,22.0,31.8,15.0,110.0,33.0,30.0,65.0,41.0,4.0,24.0,13.0,0.0,11.0,22.0,41.0,63.0,1.0,453.0,583.0,77.7,10909.0,4622.0,133.0,148.0,89.9,199.0,227.0,87.7,120.0,203.0,59.1,0.0,1.0,40.0,12.0,0.0,39.0
275,Fabian Schär,9.9,48.0,1.0,14.0,28.0,18.0,13.0,1246.0,13.8,1.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,1.2,0.4,0.0,0.4,0.08,0.0,0.09,0.03,0.03,19.0,9.0,14.0,5.0,0.0,7.0,22.0,31.8,15.0,110.0,33.0,30.0,65.0,41.0,4.0,24.0,13.0,0.0,11.0,22.0,41.0,63.0,1.0,453.0,583.0,77.7,10909.0,4622.0,133.0,148.0,89.9,199.0,227.0,87.7,120.0,203.0,59.1,0.0,1.0,40.0,12.0,0.0,39.0
278,Ciaran Clark,3.3,23.0,1.0,14.0,30.0,22.0,21.0,1891.0,21.0,1.0,0.0,1.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0.0,0.02,0.02,0.02,27.0,14.0,18.0,7.0,2.0,3.0,10.0,30.0,7.0,156.0,49.0,31.4,102.0,42.0,12.0,45.0,20.0,0.0,25.0,26.0,53.0,134.0,3.0,620.0,747.0,83.0,12686.0,3922.0,198.0,227.0,87.2,312.0,345.0,90.4,102.0,157.0,65.0,-0.1,2.0,35.0,2.0,0.0,35.0
279,Ciaran Clark,3.3,23.0,1.0,14.0,30.0,22.0,21.0,1891.0,21.0,1.0,0.0,1.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0.0,0.02,0.02,0.02,27.0,14.0,18.0,7.0,2.0,3.0,10.0,30.0,7.0,156.0,49.0,31.4,102.0,42.0,12.0,45.0,20.0,0.0,25.0,26.0,53.0,134.0,3.0,620.0,747.0,83.0,12686.0,3922.0,198.0,227.0,87.2,312.0,345.0,90.4,102.0,157.0,65.0,-0.1,2.0,35.0,2.0,0.0,35.0
280,Federico Fernández,3.3,2.0,1.0,14.0,31.0,24.0,24.0,2079.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03,35.0,17.0,26.0,7.0,2.0,14.0,25.0,56.0,11.0,183.0,51.0,27.9,129.0,47.0,7.0,51.0,32.0,0.0,19.0,17.0,52.0,166.0,1.0,671.0,837.0,80.2,14632.0,4358.0,191.0,221.0,86.4,344.0,387.0,88.9,131.0,209.0,62.7,-0.3,5.0,19.0,3.0,2.0,19.0
281,Federico Fernández,3.3,2.0,1.0,14.0,31.0,24.0,24.0,2079.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03,35.0,17.0,26.0,7.0,2.0,14.0,25.0,56.0,11.0,183.0,51.0,27.9,129.0,47.0,7.0,51.0,32.0,0.0,19.0,17.0,52.0,166.0,1.0,671.0,837.0,80.2,14632.0,4358.0,191.0,221.0,86.4,344.0,387.0,88.9,131.0,209.0,62.7,-0.3,5.0,19.0,3.0,2.0,19.0
282,Jamal Lewis,16.5,37.0,1.0,14.0,22.0,24.0,20.0,1837.0,20.4,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,50.0,26.0,34.0,14.0,2.0,21.0,41.0,51.2,20.0,336.0,81.0,24.1,180.0,122.0,34.0,35.0,7.0,0.0,28.0,20.0,70.0,35.0,1.0,635.0,833.0,76.2,11069.0,4545.0,307.0,349.0,88.0,244.0,303.0,80.5,70.0,139.0,50.4,-0.6,15.0,34.0,16.0,10.0,31.0
283,Jamal Lewis,16.5,37.0,1.0,14.0,22.0,24.0,20.0,1837.0,20.4,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,50.0,26.0,34.0,14.0,2.0,21.0,41.0,51.2,20.0,336.0,81.0,24.1,180.0,122.0,34.0,35.0,7.0,0.0,28.0,20.0,70.0,35.0,1.0,635.0,833.0,76.2,11069.0,4545.0,307.0,349.0,88.0,244.0,303.0,80.5,70.0,139.0,50.4,-0.6,15.0,34.0,16.0,10.0,31.0
284,Paul Dummett,3.3,54.0,1.0,14.0,28.0,15.0,14.0,1255.0,13.9,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,21.0,11.0,13.0,7.0,1.0,10.0,20.0,50.0,10.0,119.0,28.0,23.5,81.0,32.0,6.0,30.0,10.0,0.0,20.0,17.0,38.0,95.0,1.0,411.0,535.0,76.8,7707.0,3851.0,185.0,200.0,92.5,166.0,200.0,83.0,52.0,119.0,43.7,-0.5,4.0,31.0,5.0,2.0,23.0
285,Paul Dummett,3.3,54.0,1.0,14.0,28.0,15.0,14.0,1255.0,13.9,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,21.0,11.0,13.0,7.0,1.0,10.0,20.0,50.0,10.0,119.0,28.0,23.5,81.0,32.0,6.0,30.0,10.0,0.0,20.0,17.0,38.0,95.0,1.0,411.0,535.0,76.8,7707.0,3851.0,185.0,200.0,92.5,166.0,200.0,83.0,52.0,119.0,43.7,-0.5,4.0,31.0,5.0,2.0,23.0
286,Matt Ritchie,3.3,44.0,3.0,14.0,30.0,18.0,15.0,1350.0,15.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.5,1.9,0.03,0.1,0.13,0.03,0.13,17.0,9.0,7.0,5.0,5.0,5.0,21.0,23.8,16.0,152.0,32.0,21.1,71.0,53.0,28.0,31.0,2.0,0.0,29.0,23.0,40.0,43.0,0.0,411.0,607.0,67.7,7978.0,3480.0,184.0,210.0,87.6,149.0,195.0,76.4,69.0,178.0,38.8,0.5,24.0,27.0,18.0,13.0,37.0
287,Matt Ritchie,3.3,44.0,3.0,14.0,30.0,18.0,15.0,1350.0,15.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.5,1.9,0.03,0.1,0.13,0.03,0.13,17.0,9.0,7.0,5.0,5.0,5.0,21.0,23.8,16.0,152.0,32.0,21.1,71.0,53.0,28.0,31.0,2.0,0.0,29.0,23.0,40.0,43.0,0.0,411.0,607.0,67.7,7978.0,3480.0,184.0,210.0,87.6,149.0,195.0,76.4,69.0,178.0,38.8,0.5,24.0,27.0,18.0,13.0,37.0
288,Emil Krafth,3.85,49.0,1.0,14.0,25.0,16.0,14.0,1288.0,14.3,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,23.0,16.0,14.0,8.0,1.0,10.0,25.0,40.0,15.0,169.0,52.0,30.8,91.0,58.0,20.0,33.0,10.0,0.0,23.0,21.0,44.0,56.0,1.0,404.0,557.0,72.5,7198.0,3240.0,184.0,221.0,83.3,164.0,218.0,75.2,47.0,90.0,52.2,-0.4,6.0,23.0,3.0,3.0,19.0
289,Emil Krafth,3.85,49.0,1.0,14.0,25.0,16.0,14.0,1288.0,14.3,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04,23.0,16.0,14.0,8.0,1.0,10.0,25.0,40.0,15.0,169.0,52.0,30.8,91.0,58.0,20.0,33.0,10.0,0.0,23.0,21.0,44.0,56.0,1.0,404.0,557.0,72.5,7198.0,3240.0,184.0,221.0,83.3,164.0,218.0,75.2,47.0,90.0,52.2,-0.4,6.0,23.0,3.0,3.0,19.0
290,Javier Manquillo,3.3,17.0,1.0,14.0,26.0,13.0,10.0,825.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.03,0.03,0.0,0.03,27.0,14.0,10.0,14.0,3.0,9.0,15.0,60.0,6.0,123.0,33.0,26.8,44.0,46.0,33.0,17.0,2.0,0.0,15.0,8.0,35.0,21.0,0.0,296.0,400.0,74.0,4706.0,2027.0,172.0,187.0,92.0,92.0,133.0,69.2,25.0,56.0,44.6,-0.2,4.0,15.0,4.0,2.0,21.0
291,Javier Manquillo,3.3,17.0,1.0,14.0,26.0,13.0,10.0,825.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.03,0.03,0.0,0.03,27.0,14.0,10.0,14.0,3.0,9.0,15.0,60.0,6.0,123.0,33.0,26.8,44.0,46.0,33.0,17.0,2.0,0.0,15.0,8.0,35.0,21.0,0.0,296.0,400.0,74.0,4706.0,2027.0,172.0,187.0,92.0,92.0,133.0,69.2,25.0,56.0,44.6,-0.2,4.0,15.0,4.0,2.0,21.0
292,Isaac Hayden,11.0,16.0,8.0,14.0,25.0,24.0,22.0,1942.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,50.0,34.0,14.0,28.0,8.0,7.0,27.0,25.9,20.0,407.0,101.0,24.8,158.0,194.0,55.0,42.0,8.0,0.0,34.0,46.0,96.0,57.0,1.0,629.0,790.0,79.6,12063.0,2698.0,247.0,291.0,84.9,295.0,339.0,87.0,83.0,123.0,67.5,-0.4,5.0,48.0,3.0,1.0,41.0
293,Isaac Hayden,11.0,16.0,8.0,14.0,25.0,24.0,22.0,1942.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,50.0,34.0,14.0,28.0,8.0,7.0,27.0,25.9,20.0,407.0,101.0,24.8,158.0,194.0,55.0,42.0,8.0,0.0,34.0,46.0,96.0,57.0,1.0,629.0,790.0,79.6,12063.0,2698.0,247.0,291.0,84.9,295.0,339.0,87.0,83.0,123.0,67.5,-0.4,5.0,48.0,3.0,1.0,41.0
294,Sean Longstaff,16.5,16.0,7.0,14.0,22.0,22.0,15.0,1412.0,15.7,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,1.4,1.4,1.1,2.5,0.09,0.07,0.16,0.09,0.16,36.0,21.0,16.0,17.0,3.0,21.0,60.0,35.0,39.0,398.0,99.0,24.9,168.0,184.0,46.0,29.0,4.0,0.0,25.0,19.0,55.0,21.0,1.0,452.0,572.0,79.0,9478.0,2178.0,174.0,197.0,88.3,176.0,200.0,88.0,89.0,147.0,60.5,-0.1,11.0,41.0,2.0,1.0,40.0
295,Sean Longstaff,16.5,16.0,7.0,14.0,22.0,22.0,15.0,1412.0,15.7,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,1.4,1.4,1.1,2.5,0.09,0.07,0.16,0.09,0.16,36.0,21.0,16.0,17.0,3.0,21.0,60.0,35.0,39.0,398.0,99.0,24.9,168.0,184.0,46.0,29.0,4.0,0.0,25.0,19.0,55.0,21.0,1.0,452.0,572.0,79.0,9478.0,2178.0,174.0,197.0,88.3,176.0,200.0,88.0,89.0,147.0,60.5,-0.1,11.0,41.0,2.0,1.0,40.0
