Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog,Player_is_missing,Nation_is_missing,Pos_is_missing,Squad_is_missing
Steven Alzate,11,8,3,21,15,10,896,10,1,0,1,0.1,0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,19,15,12,4,3,2,9,22.2,7,159,54,34,44,70,45,16,1,0,15,7,26,9,1,399,446,89.5,6928,1321,194,213,91.1,154,163,94.5,45,54,83.3,-0.5,10,33,6,0,35,FALSE,FALSE,FALSE,FALSE
Daniel Amartey,21,1,10,25,12,8,722,8,1,0,1,0.12,0,0.12,0.12,0.12,0.4,0.4,0,0.4,0.05,0,0.05,0.05,0.05,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,400,466,85.8,7606,2362,136,146,93.2,212,240,88.3,45,62,72.6,0,0,19,1,0,25,FALSE,FALSE,FALSE,FALSE
Ethan Ampadu,54,3,15,19,25,23,2089,23.2,0,0,0,0,0,0,0,0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,857,1064,80.5,17276,5506,306,353,86.7,405,470,86.2,134,211,63.5,-0.9,10,69,16,2,84,FALSE,FALSE,FALSE,FALSE
Joachim Andersen,14,1,8,24,31,30,2730,30.3,1,1,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05,41,26,23,13,5,20,37,54.1,17,196,66,33.7,128,55,13,35,16,0,19,51,92,233,1,1529,1833,83.4,38236,11350,300,334,89.8,821,894,91.8,397,577,68.8,0.5,9,121,9,1,99,FALSE,FALSE,FALSE,FALSE
Michail Antonio,16,4,19,30,26,24,1974,21.9,10,5,10,0.46,0.23,0.68,0.46,0.68,11.4,11.4,2.3,13.7,0.52,0.11,0.62,0.52,0.62,14,8,1,7,6,2,9,22.2,7,254,65,25.6,19,92,143,25,9,0,16,9,23,8,0,326,490,66.5,5008,924,189,259,73,90,134,67.2,30,52,57.7,2.7,23,22,12,2,25,FALSE,FALSE,FALSE,FALSE
Stuart Armstrong,44,7,16,28,33,32,2764,30.7,4,5,4,0.13,0.16,0.29,0.13,0.29,3,3,2.7,5.7,0.1,0.09,0.18,0.1,0.18,70,41,27,30,13,30,80,37.5,50,489,141,28.8,166,215,108,31,1,0,30,30,100,21,1,1002,1258,79.7,16614,4712,515,604,85.3,383,444,86.3,85,127,66.9,2.3,34,90,40,5,116,FALSE,FALSE,FALSE,FALSE
Pierre-Emerick Aubameyang,19,4,1,31,29,26,2332,25.9,10,3,8,0.39,0.12,0.5,0.31,0.42,10.6,9.1,2.8,11.9,0.41,0.11,0.52,0.35,0.46,17,5,8,7,2,4,20,20,16,344,83,24.1,57,144,143,26,2,0,24,6,23,14,0,518,691,75,7883,1507,289,355,81.4,183,238,76.9,28,51,54.9,0.2,22,18,27,9,50,FALSE,FALSE,FALSE,FALSE
Serge Aurier,8,1,17,27,19,19,1605,17.8,2,3,2,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,769,954,80.6,12616,5171,402,446,90.1,297,373,79.6,58,99,58.6,1.1,12,29,20,6,61,FALSE,FALSE,FALSE,FALSE
Charlie Austin,16,4,18,31,5,0,138,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.13,0,0.13,0.13,0.13,4,3,2,1,1,1,2,50,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,25,34,73.5,374,134,12,14,85.7,12,16,75,1,2,50,0,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE
Jordan Ayew,21,6,6,28,33,23,2096,23.3,1,3,1,0.04,0.13,0.17,0.04,0.17,2.4,2.4,0.7,3,0.1,0.03,0.13,0.1,0.13,52,33,8,28,16,14,45,31.1,31,678,159,23.5,143,347,188,29,2,0,27,29,81,12,0,514,654,78.6,7192,1223,319,372,85.8,146,185,78.9,23,41,56.1,2.3,12,12,14,2,36,FALSE,FALSE,FALSE,FALSE
