Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog,Player_is_missing,Nation_is_missing,Pos_is_missing,Squad_is_missing
Ryan Bertrand,16,1,16,30,29,29,2598,28.9,0,1,0,0,0.03,0.03,0,0.03,0.6,0.6,1.2,1.8,0.02,0.04,0.06,0.02,0.06,71,43,29,36,6,28,48,58.3,20,317,123,38.8,121,146,50,47,5,0,42,31,102,56,1,1181,1537,76.8,19449,7477,601,682,88.1,472,593,79.6,81,189,42.9,-0.2,13,65,24,5,97,FALSE,FALSE,FALSE,FALSE
Yves Bissouma,33,7,3,23,36,35,3111,34.6,1,0,1,0.03,0,0.03,0.03,0.03,1.2,1.2,1,2.2,0.04,0.03,0.06,0.04,0.06,114,74,59,47,8,26,71,36.6,45,540,187,34.6,229,256,55,56,8,0,48,60,174,67,0,1461,1676,87.2,29183,5414,517,583,88.7,693,757,91.5,229,293,78.2,-1,15,123,21,2,114,FALSE,FALSE,FALSE,FALSE
Jayden Bogle,16,1,15,20,16,12,1110,12.3,2,0,2,0.16,0,0.16,0.16,0.16,1.8,1.8,0.2,2,0.14,0.01,0.16,0.14,0.16,36,16,21,14,1,20,35,57.1,15,234,67,28.6,109,80,45,26,4,0,22,20,56,22,0,300,383,78.3,4772,1869,172,196,87.8,87,108,80.6,30,53,56.6,-0.2,4,17,7,1,23,FALSE,FALSE,FALSE,FALSE
Willy Boly,8,1,20,29,21,21,1879,20.9,1,1,1,0.05,0.05,0.1,0.05,0.1,1.1,1.1,0.4,1.6,0.05,0.02,0.07,0.05,0.07,41,26,33,7,1,14,30,46.7,16,160,55,34.4,109,45,6,27,13,0,14,23,64,104,0,830,1003,82.8,16279,5637,277,312,88.8,436,485,89.9,108,186,58.1,0.6,3,47,1,0,40,FALSE,FALSE,FALSE,FALSE
Jarrod Bowen,16,6,19,23,38,30,2562,28.5,8,5,8,0.28,0.18,0.46,0.28,0.46,6.3,6.3,4.6,10.8,0.22,0.16,0.38,0.22,0.38,23,14,11,8,4,5,31,16.1,26,365,97,26.6,90,141,134,39,1,0,38,22,45,5,0,499,734,68,9687,2148,214,280,76.4,191,243,78.6,83,166,50,0.4,28,22,22,9,37,FALSE,FALSE,FALSE,FALSE
Robbie Brady,23,7,4,28,19,12,1052,11.7,1,1,1,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,22,12,12,3,7,9,31,29,22,181,41,22.7,62,75,44,25,2,0,23,9,31,24,1,266,393,67.7,4703,1627,133,161,82.6,88,129,68.2,34,78,43.6,0.1,7,23,6,4,32,FALSE,FALSE,FALSE,FALSE
Rhian Brewster,16,4,15,20,27,12,1128,12.5,0,0,0,0,0,0,0,0,1.7,1.7,1.7,3.4,0.14,0.13,0.27,0.14,0.27,14,8,1,7,6,0,12,0,12,238,61,25.6,13,117,108,16,3,0,13,6,20,3,0,156,225,69.3,2629,649,86,111,77.5,47,68,69.1,20,33,60.6,-1.7,8,13,4,2,14,FALSE,FALSE,FALSE,FALSE
Josh Brownhill,16,7,4,24,33,32,2813,31.3,0,1,0,0,0.03,0.03,0,0.03,1.9,1.9,1.1,3,0.06,0.04,0.1,0.06,0.1,51,28,11,32,8,10,44,22.7,34,490,125,25.5,103,261,126,59,12,1,47,53,104,56,0,938,1187,79,14887,3376,488,559,87.3,326,402,81.1,80,152,52.6,-0.1,19,66,17,2,66,FALSE,FALSE,FALSE,FALSE
Joe Bryan,16,2,8,26,16,7,669,7.4,1,0,1,0.13,0,0.13,0.13,0.13,0.4,0.4,0.4,0.8,0.05,0.06,0.11,0.05,0.11,19,12,7,7,5,9,18,50,9,97,33,34,36,37,24,21,3,0,18,13,32,19,0,295,420,70.2,5236,2212,147,172,85.5,112,143,78.3,31,83,37.3,-0.4,6,23,5,2,27,FALSE,FALSE,FALSE,FALSE
Kean Bryan,16,1,15,23,13,12,1004,11.2,1,0,1,0.09,0,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,24,15,13,10,1,9,15,60,6,150,44,29.3,81,58,11,26,11,0,15,28,52,70,3,323,443,72.9,6614,3041,118,129,91.5,147,179,82.1,50,115,43.5,-0.4,4,27,3,1,22,FALSE,FALSE,FALSE,FALSE
Oliver Burke,44,4,15,23,25,14,1269,14.1,1,1,1,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.3,0.17,0.3,18,10,6,9,3,5,28,17.9,23,415,76,18.3,35,188,192,21,0,0,21,2,20,4,0,185,262,70.6,2434,326,114,147,77.6,52,67,77.6,5,12,41.7,-0.8,13,5,8,1,11,FALSE,FALSE,FALSE,FALSE
Dan Burn,16,1,3,28,27,23,2061,22.9,1,0,1,0.04,0,0.04,0.04,0.04,1.5,1.5,1,2.5,0.06,0.04,0.11,0.06,0.11,47,22,31,13,3,21,54,38.9,33,310,103,33.2,146,114,50,39,7,1,32,37,84,95,0,952,1242,76.7,16883,5286,399,488,81.8,477,572,83.4,66,142,46.5,-1,9,73,15,5,77,FALSE,FALSE,FALSE,FALSE
Oskar Buur,14,1,20,22,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,3,0,2,0,0,0,0,0,0,0,0,14,15,93.3,201,47,9,9,100,5,5,100,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
Gary Cahill,16,1,6,34,20,20,1800,20,1,1,1,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07,13,7,10,3,0,4,10,40,6,101,29,28.7,66,27,8,45,28,0,17,19,32,127,2,590,697,84.6,12855,4415,164,191,85.9,328,351,93.4,94,148,63.5,0.3,8,34,1,0,34,FALSE,FALSE,FALSE,FALSE
Tom Cairney,44,7,8,29,10,9,759,8.4,1,1,1,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,5,4,1,2,2,0,3,0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0,551,621,88.7,11165,2009,214,227,94.3,227,247,91.9,100,128,78.1,-0.4,20,61,10,5,32,FALSE,FALSE,FALSE,FALSE
Dominic Calvert-Lewin,16,4,7,23,33,32,2871,31.9,16,0,16,0.5,0,0.5,0.5,0.5,15.4,15.4,2,17.5,0.48,0.06,0.55,0.48,0.55,17,12,0,7,10,2,11,18.2,9,347,97,28,23,150,174,31,8,0,23,5,22,31,0,479,669,71.6,7196,1149,284,369,77,131,193,67.9,44,53,83,-2,17,27,11,1,36,FALSE,FALSE,FALSE,FALSE
João Cancelo,42,1,12,26,28,27,2299,25.5,2,3,2,0.08,0.12,0.2,0.08,0.2,2,2,4.9,6.9,0.08,0.19,0.27,0.08,0.27,77,44,41,26,10,41,89,46.1,48,338,121,35.8,137,125,76,38,3,0,35,53,130,36,1,1795,2094,85.7,31794,8986,852,923,92.3,731,832,87.9,190,276,68.8,-1.9,44,135,69,9,166,FALSE,FALSE,FALSE,FALSE
Ian Carlo Poveda,16,8,9,20,14,0,355,3.9,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,0.09,0.21,0.3,0.09,0.3,9,7,6,1,2,6,12,50,6,78,21,26.9,28,29,21,4,1,0,3,2,11,0,0,86,117,73.5,1384,482,42,53,79.2,33,41,80.5,8,14,57.1,-0.8,4,7,9,2,18,FALSE,FALSE,FALSE,FALSE
Andy Carroll,16,4,14,31,18,4,392,4.4,1,0,1,0.23,0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,2,1,1,0,1,0,6,0,6,60,14,23.3,7,31,22,2,0,0,2,1,3,11,0,89,141,63.1,1415,433,53,74,71.6,26,46,56.5,7,14,50,-0.1,2,10,3,0,12,FALSE,FALSE,FALSE,FALSE
Fabio Carvalho,16,9,8,17,4,3,255,2.8,1,0,1,0.35,0,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.4,0.13,0.53,0.4,0.53,8,5,3,4,1,4,8,50,4,109,24,22,13,48,48,6,0,0,6,4,12,0,0,67,86,77.9,869,98,47,55,85.5,15,18,83.3,3,5,60,-0.4,2,3,2,0,5,FALSE,FALSE,FALSE,FALSE
Matty Cash,16,1,2,22,28,28,2372,26.4,0,2,0,0,0.08,0.08,0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,78,44,41,29,8,34,76,44.7,42,446,127,28.5,232,168,46,77,15,0,62,49,127,110,2,959,1298,73.9,18616,6966,394,440,89.5,412,517,79.7,141,307,45.9,-0.2,22,78,24,16,64,FALSE,FALSE,FALSE,FALSE
Timothy Castagne,5,1,10,24,27,27,2345,26.1,2,3,2,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2,3.3,0.05,0.08,0.13,0.05,0.13,59,34,31,22,6,20,44,45.5,24,351,100,28.5,146,130,75,53,5,0,48,23,82,67,1,1267,1512,83.8,20653,7144,634,693,91.5,548,631,86.8,74,141,52.5,1,22,87,21,7,99,FALSE,FALSE,FALSE,FALSE
Jonny Castro,17,1,20,26,7,7,495,5.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,9,6,5,2,2,5,18,27.8,13,99,25,25.3,37,43,19,10,3,0,7,7,16,8,0,188,239,78.7,2770,1002,111,127,87.4,66,79,83.5,8,19,42.1,-0.1,3,8,1,1,11,FALSE,FALSE,FALSE,FALSE
Ivan Cavaleiro,42,6,8,26,36,27,2472,27.5,3,0,2,0.11,0,0.11,0.07,0.07,5.4,4.7,3.4,8,0.2,0.12,0.32,0.17,0.29,28,21,13,10,5,4,22,18.2,18,444,131,29.5,82,182,180,38,1,0,37,18,46,22,1,600,834,71.9,10024,2429,307,379,81,213,264,80.7,60,131,45.8,-3.4,44,19,30,11,50,FALSE,FALSE,FALSE,FALSE
Edinson Cavani,52,4,13,33,26,13,1375,15.3,10,3,10,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66,15,11,1,8,6,3,12,25,9,210,59,28.1,16,76,118,6,1,0,5,10,25,11,0,270,343,78.7,4517,627,134,163,82.2,95,113,84.1,30,36,83.3,0.3,15,16,13,1,18,FALSE,FALSE,FALSE,FALSE
Dani Ceballos,17,7,1,23,25,17,1615,17.9,0,3,0,0,0.17,0.17,0,0.17,0.7,0.7,2.9,3.6,0.04,0.16,0.2,0.04,0.2,40,33,19,12,9,13,49,26.5,36,281,75,26.7,121,100,60,29,7,1,22,24,64,21,0,1112,1286,86.5,22027,5182,415,457,90.8,511,558,91.6,172,230,74.8,0.1,27,131,22,3,107,FALSE,FALSE,FALSE,FALSE
Calum Chambers,16,1,1,25,10,8,753,8.4,0,2,0,0,0.24,0.24,0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,9,3,4,3,2,3,10,30,7,95,28,29.5,50,30,15,16,3,0,13,14,23,45,0,462,575,80.3,8301,2388,206,231,89.2,204,241,84.6,47,85,55.3,0.9,11,24,9,5,23,FALSE,FALSE,FALSE,FALSE
Ben Chilwell,16,1,5,23,27,27,2286,25.4,3,5,3,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21,46,29,19,20,7,16,37,43.2,21,323,102,31.6,133,131,59,65,3,0,62,29,75,66,0,1419,1806,78.6,24038,8064,710,781,90.9,557,684,81.4,122,262,46.6,2.2,30,87,26,11,127,FALSE,FALSE,FALSE,FALSE
Hamza Choudhury,16,7,10,22,10,4,316,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11,11,7,5,6,0,2,10,20,8,53,18,34,18,31,4,9,2,0,7,5,16,6,1,190,235,80.9,3682,616,73,92,79.3,89,102,87.3,25,34,73.5,0,0,13,0,0,8,FALSE,FALSE,FALSE,FALSE
Andreas Christensen,14,1,5,24,17,15,1371,15.2,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,20,12,14,4,2,5,11,45.5,6,103,38,36.9,56,38,9,26,15,0,11,26,46,80,1,1011,1089,92.8,21334,5754,295,316,93.4,551,578,95.3,158,183,86.3,-0.4,6,44,3,0,46,FALSE,FALSE,FALSE,FALSE
Carney Chukwuemeka,16,6,2,16,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.29,0,0.29,0.29,0.29,2,2,1,0,1,1,3,33.3,2,14,3,21.4,6,4,4,1,0,0,1,0,2,0,0,5,8,62.5,88,10,3,3,100,1,2,50,1,2,50,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
Ciaran Clark,23,1,14,30,22,21,1891,21,1,0,1,0.05,0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0,0.02,0.02,0.02,27,14,18,7,2,3,10,30,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3,620,747,83,12686,3922,198,227,87.2,312,345,90.4,102,157,65,-0.1,2,35,2,0,35,FALSE,FALSE,FALSE,FALSE
Nathaniel Clyne,16,1,6,29,13,13,1145,12.7,0,1,0,0,0.08,0.08,0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0,437,569,76.8,6908,2752,232,258,89.9,164,205,80,30,75,40,0.6,4,20,13,6,25,FALSE,FALSE,FALSE,FALSE
Conor Coady,16,1,20,27,37,37,3303,36.7,1,0,1,0.03,0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0,0.04,0.03,0.04,31,23,23,8,0,14,37,37.8,23,203,71,35,149,52,2,59,39,2,20,25,56,163,1,1576,1789,88.1,40617,14316,287,303,94.7,810,846,95.7,470,618,76.1,-0.1,2,78,1,0,59,FALSE,FALSE,FALSE,FALSE
Séamus Coleman,23,3,7,31,25,18,1613,17.9,0,3,0,0,0.17,0.17,0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,39,26,25,9,5,17,40,42.5,23,242,73,30.2,134,72,36,39,9,0,30,22,61,38,1,625,767,81.5,11163,4088,299,329,90.9,249,293,85,72,119,60.5,1.1,18,32,14,5,43,FALSE,FALSE,FALSE,FALSE
Aaron Connolly,23,4,3,20,17,9,791,8.8,2,1,2,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,7,5,2,4,1,1,5,20,4,124,40,32.3,7,58,59,9,1,0,8,0,7,1,0,79,101,78.2,1147,165,45,56,80.4,26,30,86.7,4,5,80,0.8,5,2,1,0,3,FALSE,FALSE,FALSE,FALSE
Liam Cooper,44,1,9,28,25,25,2185,24.3,1,0,1,0.04,0,0.04,0.04,0.04,1.3,1.3,0,1.3,0.05,0,0.05,0.05,0.05,76,47,48,27,1,34,58,58.6,24,291,115,39.5,181,102,8,45,31,0,14,53,129,123,1,1363,1555,87.7,31575,9368,291,312,93.3,784,821,95.5,285,407,70,0,0,78,3,0,67,FALSE,FALSE,FALSE,FALSE
Jack Cork,16,7,4,31,16,15,1350,15,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.8,0.02,0.04,0.06,0.02,0.06,25,16,6,15,4,9,27,33.3,18,234,71,30.3,58,121,55,20,6,0,14,15,40,24,0,413,499,82.8,6590,1287,215,243,88.5,147,162,90.7,36,61,59,-0.6,7,39,3,0,26,FALSE,FALSE,FALSE,FALSE
Hélder Costa,42,9,9,26,22,13,1156,12.8,3,3,3,0.23,0.23,0.47,0.23,0.47,2,2,0.9,2.9,0.16,0.07,0.23,0.16,0.23,30,15,14,7,9,9,32,28.1,23,265,72,27.2,93,102,70,19,0,0,19,6,36,9,0,242,328,73.8,3298,882,158,180,87.8,68,93,73.1,7,23,30.4,2.1,9,7,13,4,16,FALSE,FALSE,FALSE,FALSE
Vladimír Coufal,13,1,19,27,34,34,3054,33.9,0,7,0,0,0.21,0.21,0,0.21,1.2,1.2,4.6,5.8,0.04,0.14,0.17,0.04,0.17,77,41,57,17,3,44,93,47.3,49,457,126,27.6,247,140,70,74,5,0,69,39,116,122,1,1200,1693,70.9,20585,10174,575,654,87.9,486,661,73.5,119,292,40.8,2.4,46,82,40,23,119,FALSE,FALSE,FALSE,FALSE
Aaron Cresswell,16,1,19,30,36,36,3170,35.2,0,8,0,0,0.23,0.23,0,0.23,0.9,0.9,5.9,6.9,0.03,0.17,0.19,0.03,0.19,31,13,15,14,2,14,34,41.2,20,230,67,29.1,122,90,18,48,14,0,34,36,67,98,0,1541,2061,74.8,30884,14764,655,736,89,616,736,83.7,252,518,48.6,2.1,60,149,24,17,120,FALSE,FALSE,FALSE,FALSE
Stuart Dallas,37,3,9,29,38,38,3409,37.9,8,2,8,0.21,0.05,0.26,0.21,0.26,4.6,4.6,2.1,6.7,0.12,0.05,0.18,0.12,0.18,79,52,46,28,5,29,100,29,71,587,190,32.4,223,279,85,55,3,0,52,59,138,55,1,1813,2212,82,31713,9947,899,988,91,709,841,84.3,183,304,60.2,-0.1,27,141,38,9,182,FALSE,FALSE,FALSE,FALSE
Scott Dann,16,1,6,33,15,15,1350,15,1,0,1,0.07,0,0.07,0.07,0.07,0.3,0.3,0,0.4,0.02,0,0.02,0.02,0.02,10,7,9,1,0,3,12,25,9,62,17,27.4,41,20,1,26,16,0,10,8,18,75,1,508,604,84.1,10396,4758,162,179,90.5,273,294,92.9,70,121,57.9,0,1,24,0,0,28,FALSE,FALSE,FALSE,FALSE
Ben Davies,54,1,17,27,20,14,1346,15,0,1,0,0,0.07,0.07,0,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,26,13,14,8,4,10,29,34.5,19,184,42,22.8,91,64,29,24,5,0,19,13,39,72,0,610,783,77.9,10908,4213,266,295,90.2,282,332,84.9,53,127,41.7,0.4,7,42,9,4,43,FALSE,FALSE,FALSE,FALSE
Tom Davies,16,7,7,22,25,17,1423,15.8,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,1,1.1,0.01,0.06,0.07,0.01,0.07,33,28,21,11,1,10,40,25,30,272,91,33.5,115,123,34,21,8,0,13,34,67,30,1,573,684,83.8,10963,2685,236,264,89.4,252,284,88.7,78,107,72.9,0,7,43,7,2,47,FALSE,FALSE,FALSE,FALSE
Keinan Davis,16,6,2,22,15,1,277,3.1,1,1,1,0.32,0.32,0.65,0.32,0.65,1,1,0.5,1.5,0.34,0.16,0.49,0.34,0.49,3,3,1,1,1,0,1,0,1,63,16,25.4,4,33,26,2,1,0,1,0,3,2,0,58,79,73.4,843,141,36,40,90,19,29,65.5,2,4,50,0.5,5,1,3,0,3,FALSE,FALSE,FALSE,FALSE
Leif Davis,16,1,9,20,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,12,0,0,5,6,1,3,1,0,2,2,2,0,0,16,19,84.2,384,159,3,3,100,10,11,90.9,3,5,60,0,0,0,1,0,1,FALSE,FALSE,FALSE,FALSE
Craig Dawson,16,1,19,30,22,22,1925,21.4,3,0,3,0.14,0,0.14,0.14,0.14,1.7,1.7,0,1.7,0.08,0,0.08,0.08,0.08,13,11,13,0,0,3,12,25,9,145,45,31,96,46,3,32,25,1,7,39,52,133,1,592,718,82.5,14128,3945,129,140,92.1,303,328,92.4,153,237,64.6,0,1,41,1,0,25,FALSE,FALSE,FALSE,FALSE
Kevin De Bruyne,5,7,12,29,25,23,1997,22.2,6,12,4,0.27,0.54,0.81,0.18,0.72,9.7,7.4,10.2,17.6,0.44,0.46,0.9,0.34,0.79,37,31,8,19,10,10,52,19.2,42,376,122,32.4,46,175,155,27,2,0,25,16,53,7,0,1068,1406,76,21109,6183,452,536,84.3,417,512,81.4,176,280,62.9,1.8,79,128,79,9,173,FALSE,FALSE,FALSE,FALSE
Fabian Delph,16,8,7,30,8,2,266,3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,5,2,3,2,0,1,2,50,1,30,6,20,12,18,0,4,0,0,4,4,9,3,0,206,234,88,3586,937,94,100,94,91,98,92.9,18,31,58.1,-0.1,2,15,1,0,15,FALSE,FALSE,FALSE,FALSE
Leander Dendoncker,5,8,20,25,33,28,2503,27.8,1,0,1,0.04,0,0.04,0.04,0.04,3.3,3.3,0.7,4,0.12,0.03,0.14,0.12,0.14,49,29,31,15,3,23,61,37.7,38,494,149,30.2,223,224,47,59,15,0,44,27,76,75,0,1021,1162,87.9,19322,4299,405,447,90.6,449,500,89.8,141,169,83.4,-0.7,16,64,8,2,62,FALSE,FALSE,FALSE,FALSE
Mbaye Diagne,45,4,18,28,16,14,1189,13.2,3,2,3,0.23,0.15,0.38,0.23,0.38,5,5,1.7,6.7,0.38,0.13,0.51,0.38,0.51,8,4,3,2,3,1,4,25,3,138,40,29,13,44,81,7,1,0,6,2,10,17,0,162,230,70.4,2398,456,105,127,82.7,42,70,60,12,21,57.1,0.3,12,13,5,2,16,FALSE,FALSE,FALSE,FALSE
Ibrahima Diallo,18,7,16,21,22,10,1020,11.3,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,0.05,0.05,0.11,0.05,0.11,30,25,14,14,2,9,23,39.1,14,242,82,33.9,81,144,17,14,1,0,13,16,46,16,0,500,587,85.2,8755,1972,219,247,88.7,230,249,92.4,41,76,53.9,-0.6,8,36,6,1,33,FALSE,FALSE,FALSE,FALSE
Grady Diangana,16,9,18,22,20,15,1235,13.7,1,0,1,0.07,0,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.09,0.01,0.1,0.09,0.1,35,19,22,5,8,14,36,38.9,22,309,67,21.7,142,96,71,30,2,0,28,14,49,5,1,256,351,72.9,3593,893,146,181,80.7,92,116,79.3,8,28,28.6,-0.2,5,15,7,0,26,FALSE,FALSE,FALSE,FALSE
Raphael Dias Belloli,7,7,9,23,30,26,2360,26.2,6,9,6,0.23,0.34,0.57,0.23,0.57,6,6,8.1,14.1,0.23,0.31,0.54,0.23,0.54,38,19,15,14,9,13,55,23.6,42,402,98,24.4,111,160,131,39,1,0,38,31,69,33,0,704,1057,66.6,13455,5385,323,380,85,253,359,70.5,113,249,45.4,0.9,66,81,42,9,135,FALSE,FALSE,FALSE,FALSE
Rúben Dias,42,1,12,23,32,32,2843,31.6,1,0,1,0.03,0,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0,0.08,0.07,0.08,31,21,17,12,2,6,23,26.1,17,181,67,37,92,70,19,45,25,0,20,22,53,118,0,2499,2672,93.5,54265,14607,617,647,95.4,1427,1471,97,439,520,84.4,-0.1,3,166,9,1,116,FALSE,FALSE,FALSE,FALSE
Eric Dier,16,1,17,26,28,28,2520,28,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,0.03,0,0.03,0.03,0.03,24,15,13,10,1,12,22,54.5,10,166,48,28.9,106,52,8,50,34,0,16,23,47,169,0,1400,1654,84.6,31629,10688,393,433,90.8,711,766,92.8,289,429,67.4,-0.1,3,72,5,0,62,FALSE,FALSE,FALSE,FALSE
Lucas Digne,18,1,7,27,30,30,2681,29.8,0,7,0,0,0.23,0.23,0,0.23,0.6,0.6,5.4,6,0.02,0.18,0.2,0.02,0.2,78,40,53,14,11,29,50,58,21,412,106,25.7,195,141,76,59,4,0,55,26,104,96,0,1225,1690,72.5,22044,8899,578,664,87,488,631,77.3,135,307,44,1.6,44,63,37,26,108,FALSE,FALSE,FALSE,FALSE
Virgil van Dijk,35,1,11,29,5,5,370,4.1,1,0,1,0.24,0,0.24,0.24,0.24,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08,3,1,1,2,0,0,1,0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,296,329,90,7078,2109,61,65,93.8,176,186,94.6,59,77,76.6,0,0,26,0,0,20,FALSE,FALSE,FALSE,FALSE
Issa Diop,18,1,19,23,18,15,1381,15.3,2,0,2,0.13,0,0.13,0.13,0.13,0.3,0.3,0,0.3,0.02,0,0.02,0.02,0.02,26,19,14,12,0,6,18,33.3,12,113,41,36.3,61,48,4,35,24,1,11,14,40,82,2,475,563,84.4,9379,2899,160,184,87,244,267,91.4,65,101,64.4,0,1,28,0,0,22,FALSE,FALSE,FALSE,FALSE
Moussa Djenepo,33,7,16,22,27,15,1240,13.8,1,0,1,0.07,0,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,46,22,25,11,10,18,53,34,35,332,95,28.6,122,124,86,27,1,0,26,11,57,16,0,295,400,73.8,4570,1263,160,192,83.3,111,139,79.9,18,33,54.5,-0.6,7,17,13,2,24,FALSE,FALSE,FALSE,FALSE
Matt Doherty,23,1,17,28,17,13,1240,13.8,0,2,0,0,0.15,0.15,0,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09,23,8,10,8,5,11,34,32.4,23,186,38,20.4,80,70,36,41,5,0,36,18,41,54,0,666,826,80.6,10945,4240,359,402,89.3,249,307,81.1,47,88,53.4,1.2,11,23,14,7,43,FALSE,FALSE,FALSE,FALSE
Gabriel Dos Santos,7,1,1,22,23,22,1996,22.2,2,0,2,0.09,0,0.09,0.09,0.09,1,1,0.1,1.1,0.05,0,0.05,0.05,0.05,28,17,22,5,1,9,17,52.9,8,151,55,36.4,95,49,7,41,23,0,18,23,51,106,2,1283,1492,86,27010,7820,378,414,91.3,675,722,93.5,217,330,65.8,-0.1,2,82,3,2,53,FALSE,FALSE,FALSE,FALSE
Abdoulaye Doucouré,18,7,7,27,29,29,2443,27.1,2,3,2,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,56,42,30,19,7,17,45,37.8,28,544,158,29,228,219,97,43,9,0,34,35,91,29,1,1146,1333,86,20026,4093,517,588,87.9,482,534,90.3,117,147,79.6,0.8,18,69,21,1,65,FALSE,FALSE,FALSE,FALSE
Paul Dummett,54,1,14,28,15,14,1255,13.9,1,0,1,0.07,0,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,21,11,13,7,1,10,20,50,10,119,28,23.5,81,32,6,30,10,0,20,17,38,95,1,411,535,76.8,7707,3851,185,200,92.5,166,200,83,52,119,43.7,-0.5,4,31,5,2,23,FALSE,FALSE,FALSE,FALSE
Lewis Dunk,16,1,3,28,33,33,2931,32.6,5,0,5,0.15,0,0.15,0.15,0.15,2.5,2.5,0.9,3.4,0.08,0.03,0.1,0.08,0.1,34,19,22,10,2,12,23,52.2,11,188,70,37.2,99,76,13,40,24,1,16,29,63,126,2,1935,2151,90,45296,12437,477,505,94.5,1000,1051,95.1,442,570,77.5,-0.9,9,116,2,0,70,FALSE,FALSE,FALSE,FALSE
