Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90
143,Kyle Edwards,ENG,MFFW,West Brom,22,5,1,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.11,0,0.11,0.11,0.11
144,John Egan,IRL,DF,Sheffield Utd,27,31,30,2629,29.2,0,1,0,0,0.03,0.03,0,0.03,0.7,0.7,0.3,1,0.02,0.01,0.03,0.02,0.03
145,Anthony Elanga,SWE,FW,Manchester Utd,18,2,2,155,1.7,1,0,1,0.58,0,0.58,0.58,0.58,0.3,0.3,0,0.3,0.16,0.02,0.18,0.16,0.18
146,Ahmed Elmohamady,EGY,DF,Aston Villa,32,14,8,839,9.3,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.1,0.05,0.07,0.12,0.05,0.12
147,Mohamed Elneny,EGY,MF,Arsenal,28,23,17,1544,17.2,1,0,1,0.06,0,0.06,0.06,0.06,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04
148,Jonny Evans,NIR,DF,Leicester City,32,28,28,2473,27.5,2,2,2,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.3,2,0.06,0.01,0.07,0.06,0.07
149,Eberechi Eze,ENG,MF,Crystal Palace,22,34,29,2559,28.4,4,6,4,0.14,0.21,0.35,0.14,0.35,2.2,2.2,2.8,5.1,0.08,0.1,0.18,0.08,0.18
150,Łukasz Fabiański,POL,GK,West Ham,35,35,35,3150,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Fabinho,BRA,DFMF,Liverpool,26,30,28,2567,28.5,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.02,0.01,0.03,0.02,0.03
152,Bruno Fernandes,POR,MF,Manchester Utd,25,37,35,3099,34.4,18,12,9,0.52,0.35,0.87,0.26,0.61,15.4,7.8,11,18.8,0.45,0.32,0.77,0.23,0.55
153,Federico Fernández,ARG,DF,Newcastle Utd,31,24,24,2079,23.1,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03
154,Fernandinho,BRA,MF,Manchester City,35,21,12,1188,13.2,0,2,0,0,0.15,0.15,0,0.15,0.8,0.8,0.9,1.7,0.06,0.07,0.13,0.06,0.13
155,Sam Field,ENG,MF,West Brom,22,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Roberto Firmino,BRA,FW,Liverpool,28,36,33,2838,31.5,9,7,9,0.29,0.22,0.51,0.29,0.51,12.6,12.6,6.4,19,0.4,0.2,0.6,0.4,0.6
157,John Fleck,SCO,MF,Sheffield Utd,28,31,29,2575,28.6,0,2,0,0,0.07,0.07,0,0.07,0.9,0.9,2.7,3.5,0.03,0.09,0.12,0.03,0.12
158,Phil Foden,ENG,FWMF,Manchester City,20,28,17,1616,18,9,5,9,0.5,0.28,0.78,0.5,0.78,5.5,5.5,4.1,9.7,0.31,0.23,0.54,0.31,0.54
159,Wesley Fofana,FRA,DF,Leicester City,19,28,27,2262,25.1,0,0,0,0,0,0,0,0,1,1,0.3,1.3,0.04,0.01,0.05,0.04,0.05
160,Pablo Fornals,ESP,FWMF,West Ham,24,33,31,2572,28.6,5,4,5,0.17,0.14,0.31,0.17,0.31,6.5,6.5,2.5,9,0.23,0.09,0.32,0.23,0.32
161,Fraser Forster,ENG,GK,Southampton,32,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Timothy Fosu-Mensah,NED,DF,Manchester Utd,22,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.03,0.31,0.34,0.03,0.34
163,Tyrese Francois,AUS,DF,Fulham,20,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Ryan Fraser,SCO,FWMF,Newcastle Utd,26,18,9,928,10.3,0,2,0,0,0.19,0.19,0,0.19,0.9,0.9,2.1,3,0.09,0.2,0.29,0.09,0.29
165,Fred,BRA,MF,Manchester Utd,27,30,27,2390,26.6,1,0,1,0.04,0,0.04,0.04,0.04,1.9,1.9,2.5,4.5,0.07,0.1,0.17,0.07,0.17
166,Ryan Fredericks,ENG,DFFW,West Ham,27,14,6,569,6.3,1,1,1,0.16,0.16,0.32,0.16,0.32,0.3,0.3,1.2,1.5,0.05,0.19,0.24,0.05,0.24
167,Christian Fuchs,AUT,DF,Leicester City,34,9,8,702,7.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
168,Darnell Furlong,ENG,DF,West Brom,24,35,32,2932,32.6,1,3,1,0.03,0.09,0.12,0.03,0.12,2,2,2.1,4.1,0.06,0.06,0.13,0.06,0.13
169,Conor Gallagher,ENG,MF,West Brom,20,30,28,2531,28.1,2,2,2,0.07,0.07,0.14,0.07,0.14,1.8,1.8,1.6,3.4,0.06,0.06,0.12,0.06,0.12
170,Eric García,ESP,DF,Manchester City,19,6,3,383,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05
171,Dwight Gayle,ENG,FWMF,Newcastle Utd,29,18,4,514,5.7,1,1,1,0.18,0.18,0.35,0.18,0.35,2,2,0.5,2.6,0.36,0.09,0.45,0.36,0.45
172,Jean-Philippe Gbamin,CIV,MF,Everton,24,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,David de Gea,ESP,GK,Manchester Utd,29,26,26,2295,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Anwar El Ghazi,NED,FW,Aston Villa,25,28,17,1613,17.9,10,0,6,0.56,0,0.56,0.33,0.33,8.1,5.1,2.3,7.3,0.45,0.13,0.58,0.28,0.41
175,Kieran Gibbs,ENG,DF,West Brom,30,10,9,809,9,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.03,0.04,0.01,0.04
176,Morgan Gibbs-White,ENG,FWMF,Wolves,20,11,4,414,4.6,1,0,1,0.22,0,0.22,0.22,0.22,1,1,0.6,1.6,0.21,0.13,0.34,0.21,0.34
177,Billy Gilmour,SCO,MF,Chelsea,19,5,3,261,2.9,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.06,0.01,0.06
178,Olivier Giroud,FRA,FW,Chelsea,33,17,8,748,8.3,4,0,4,0.48,0,0.48,0.48,0.48,4.8,4.8,0.7,5.5,0.58,0.09,0.66,0.58,0.66
179,Ben Godfrey,ENG,DF,Everton,22,31,29,2685,29.8,0,2,0,0,0.07,0.07,0,0.07,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05
180,André Gomes,POR,MF,Everton,27,28,17,1570,17.4,0,1,0,0,0.06,0.06,0,0.06,0.5,0.5,1,1.4,0.03,0.05,0.08,0.03,0.08
181,Joe Gomez,ENG,DF,Liverpool,23,7,6,590,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Anthony Gordon,ENG,FWMF,Everton,19,3,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
183,Karlan Grant,ENG,FWMF,West Brom,22,21,14,1127,12.5,1,0,1,0.08,0,0.08,0.08,0.08,2.1,2.1,0,2.1,0.17,0,0.17,0.17,0.17
184,Demarai Gray,ENG,FW,Leicester City,24,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.43,0,0.43,0.43,0.43
185,Jack Grealish,ENG,FWMF,Aston Villa,24,26,24,2185,24.3,6,10,6,0.25,0.41,0.66,0.25,0.66,4.3,4.3,8.6,12.9,0.18,0.35,0.53,0.18,0.53
186,Mason Greenwood,ENG,FW,Manchester Utd,18,31,21,1822,20.2,7,2,7,0.35,0.1,0.44,0.35,0.44,7.4,7.4,1.8,9.2,0.37,0.09,0.45,0.37,0.45
187,Pascal Groß,GER,MFDF,Brighton,29,34,27,2484,27.6,3,8,0,0.11,0.29,0.4,0,0.29,5.6,2.5,5.5,8,0.2,0.2,0.4,0.09,0.29
188,Kamil Grosicki,POL,FWMF,West Brom,32,3,2,148,1.6,0,1,0,0,0.61,0.61,0,0.61,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13
189,Vicente Guaita,ESP,GK,Crystal Palace,33,37,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,İlkay Gündoğan,GER,MF,Manchester City,29,28,23,2029,22.5,13,2,12,0.58,0.09,0.67,0.53,0.62,9,7.5,4.5,12,0.4,0.2,0.6,0.33,0.53
191,Antwoine Hackford,ENG,DFFW,Sheffield Utd,16,1,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1.16,0,1.16,1.16,1.16
192,Sébastien Haller,CIV,FW,West Ham,26,16,10,937,10.4,3,0,3,0.29,0,0.29,0.29,0.29,2.9,2.9,1.2,4.1,0.28,0.12,0.4,0.28,0.4
193,Rekeem Harper,ENG,MF,West Brom,20,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12
194,Jack Harrison,ENG,MF,Leeds United,23,36,34,2847,31.6,8,8,8,0.25,0.25,0.51,0.25,0.51,6.6,6.6,7.1,13.7,0.21,0.22,0.43,0.21,0.43
195,Kortney Hause,ENG,DF,Aston Villa,25,7,7,630,7,1,0,1,0.14,0,0.14,0.14,0.14,1.2,1.2,0,1.2,0.17,0,0.17,0.17,0.17
196,Kai Havertz,GER,MFFW,Chelsea,21,27,18,1520,16.9,4,3,4,0.24,0.18,0.41,0.24,0.41,6.3,6.3,1.6,7.8,0.37,0.09,0.46,0.37,0.46
197,Isaac Hayden,ENG,MFDF,Newcastle Utd,25,24,22,1942,21.6,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04
198,Michael Hector,JAM,DF,Fulham,28,4,3,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04
199,Ahmed Hegazi,EGY,DF,West Brom,29,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Dean Henderson,ENG,GK,Manchester Utd,23,13,12,1125,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Jordan Henderson,ENG,MFDF,Liverpool,30,21,20,1704,18.9,1,1,1,0.05,0.05,0.11,0.05,0.11,1.7,1.7,1.4,3,0.09,0.07,0.16,0.09,0.16
202,Jeff Hendrick,IRL,MF,Newcastle Utd,28,22,17,1422,15.8,2,1,2,0.13,0.06,0.19,0.13,0.19,1.1,1.1,0.7,1.8,0.07,0.05,0.11,0.07,0.11
203,Pablo Hernández,ESP,MFFW,Leeds United,35,16,3,427,4.7,0,2,0,0,0.42,0.42,0,0.42,1.2,1.2,0.7,1.8,0.25,0.14,0.39,0.25,0.39
204,Son Heung-min,KOR,FW,Tottenham,28,37,36,3114,34.6,17,10,16,0.49,0.29,0.78,0.46,0.75,10.3,9.5,8.9,18.4,0.3,0.26,0.55,0.27,0.53
205,Ki-Jana Hoever,NED,DF,Wolves,18,12,5,577,6.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04
206,Rob Holding,ENG,DF,Arsenal,24,30,28,2558,28.4,0,1,0,0,0.04,0.04,0,0.04,1.1,1.1,0.2,1.4,0.04,0.01,0.05,0.04,0.05
207,Mason Holgate,ENG,DF,Everton,23,28,26,2287,25.4,1,0,1,0.04,0,0.04,0.04,0.04,0.8,0.8,0.6,1.4,0.03,0.03,0.06,0.03,0.06
208,Conor Hourihane,IRL,MF,Aston Villa,29,4,3,225,2.5,1,1,1,0.4,0.4,0.8,0.4,0.8,0.5,0.5,0.8,1.3,0.2,0.32,0.52,0.2,0.52
209,Callum Hudson-Odoi,ENG,FWDF,Chelsea,19,23,10,1059,11.8,2,3,2,0.17,0.25,0.42,0.17,0.42,1.4,1.4,3.1,4.5,0.12,0.26,0.38,0.12,0.38
210,Niall Huggins,WAL,DF,Leeds United,19,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Pierre Højbjerg,DEN,MF,Tottenham,24,38,38,3420,38,2,4,2,0.05,0.11,0.16,0.05,0.16,1.1,1.1,1.9,3,0.03,0.05,0.08,0.03,0.08
212,Odion Ighalo,NGA,FW,Manchester Utd,31,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Kelechi Iheanacho,NGA,FW,Leicester City,23,25,16,1459,16.2,12,2,12,0.74,0.12,0.86,0.74,0.86,7.8,7,2.9,10,0.48,0.18,0.66,0.43,0.62
214,Danny Ings,ENG,FW,Southampton,28,29,26,2173,24.1,12,4,10,0.5,0.17,0.66,0.41,0.58,8.3,6.7,2.6,9.3,0.34,0.11,0.45,0.28,0.39
215,Branislav Ivanović,SRB,DF,West Brom,36,13,8,767,8.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.6,0.06,0.01,0.07,0.06,0.07
216,Alex Iwobi,NGA,FWDF,Everton,24,30,17,1542,17.1,1,2,1,0.06,0.12,0.18,0.06,0.18,1.1,1.1,1.8,2.9,0.06,0.11,0.17,0.06,0.17
217,José Izquierdo,COL,DFMF,Brighton,28,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12
218,Phil Jagielka,ENG,DF,Sheffield Utd,37,10,6,526,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Alireza Jahanbakhsh,IRN,FWMF,Brighton,26,21,6,528,5.9,0,1,0,0,0.17,0.17,0,0.17,1.6,1.6,3.2,4.8,0.28,0.54,0.82,0.28,0.82
220,Daniel James,WAL,FW,Manchester Utd,22,15,11,910,10.1,3,1,3,0.3,0.1,0.4,0.3,0.4,2.3,2.3,1.2,3.5,0.23,0.12,0.34,0.23,0.34
221,Reece James,ENG,DF,Chelsea,20,32,25,2373,26.4,1,2,1,0.04,0.08,0.11,0.04,0.11,1.6,1.6,3,4.6,0.06,0.12,0.18,0.06,0.18
222,Alexandre Jankewitz,SUI,MF,Southampton,18,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Daniel Jebbison,ENG,FW,Sheffield Utd,17,4,3,284,3.2,1,0,1,0.32,0,0.32,0.32,0.32,1.6,1.6,0,1.6,0.5,0.01,0.51,0.5,0.51
224,Gabriel Jesus,BRA,FW,Manchester City,23,29,22,2063,22.9,9,4,9,0.39,0.17,0.57,0.39,0.57,8.8,8.8,3.4,12.2,0.38,0.15,0.53,0.38,0.53
225,Raúl Jiménez,MEX,FW,Wolves,29,10,10,823,9.1,4,0,4,0.44,0,0.44,0.44,0.44,2.4,2.4,0.8,3.1,0.26,0.08,0.34,0.26,0.34
226,Joelinton,BRA,FWMF,Newcastle Utd,23,31,23,1983,22,4,2,3,0.18,0.09,0.27,0.14,0.23,6.1,5.3,2.1,7.5,0.28,0.1,0.37,0.24,0.34
227,Ben Johnson,ENG,DF,West Ham,20,14,5,523,5.8,1,0,1,0.17,0,0.17,0.17,0.17,0.4,0.4,0.2,0.6,0.06,0.04,0.1,0.06,0.1
228,Sam Johnstone,ENG,GK,West Brom,27,37,37,3330,37,0,1,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01
229,Curtis Jones,ENG,MF,Liverpool,19,24,13,1179,13.1,1,2,1,0.08,0.15,0.23,0.08,0.23,1.4,1.4,1.6,3,0.11,0.12,0.23,0.11,0.23
230,Jorginho,ITA,MF,Chelsea,28,28,23,2010,22.3,7,1,0,0.31,0.04,0.36,0,0.04,7,0.1,2.1,2.2,0.31,0.09,0.41,0.01,0.1
231,Willian José,BRA,FW,Wolves,28,17,12,1110,12.3,1,0,1,0.08,0,0.08,0.08,0.08,1.9,1.9,0.6,2.4,0.15,0.05,0.2,0.15,0.2
232,Diogo Jota,POR,FW,Liverpool,23,19,12,1112,12.4,9,0,9,0.73,0,0.73,0.73,0.73,6.6,6.6,1.6,8.2,0.53,0.13,0.66,0.53,0.66
233,James Justin,ENG,DF,Leicester City,22,23,23,2070,23,2,1,2,0.09,0.04,0.13,0.09,0.13,1.6,1.6,1.6,3.2,0.07,0.07,0.14,0.07,0.14
234,Ozan Kabak,TUR,DF,Liverpool,20,9,9,801,8.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03
235,Aboubakar Kamara,MTN,FWDF,Fulham,25,11,2,315,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.11,0.22,0.11,0.22
236,Harry Kane,ENG,FW,Tottenham,27,35,35,3082,34.2,23,14,19,0.67,0.41,1.08,0.55,0.96,20.5,17.5,7.4,24.8,0.6,0.22,0.81,0.51,0.73
237,N'Golo Kanté,FRA,MF,Chelsea,29,30,24,2146,23.8,0,2,0,0,0.08,0.08,0,0.08,0.9,0.9,1.1,2,0.04,0.05,0.08,0.04,0.08
238,Moise Kean,ITA,FW,Everton,20,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21
239,Michael Keane,ENG,DF,Everton,27,35,33,2991,33.2,3,1,3,0.09,0.03,0.12,0.09,0.12,1.2,1.2,1.1,2.3,0.04,0.03,0.07,0.04,0.07
240,Neeskens Kebano,COD,FWMF,Fulham,28,5,1,119,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22
241,Naby Keïta,GUI,MF,Liverpool,25,10,7,520,5.8,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.3,0.09,0.14,0.23,0.09,0.23
242,Caoimhín Kelleher,IRL,GK,Liverpool,21,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Martin Kelly,ENG,DF,Crystal Palace,30,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Jonjoe Kenny,ENG,DF,Everton,23,4,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Reda Khadra,GER,FW,Brighton,19,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Max Kilman,ENG,DF,Wolves,23,18,14,1310,14.6,0,1,0,0,0.07,0.07,0,0.07,0.4,0.4,0.5,1,0.03,0.04,0.07,0.03,0.07
247,Joshua King,NOR,MFFW,Everton,28,11,0,148,1.6,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.48,0,0.48,0.48,0.48
248,Mateusz Klich,POL,MF,Leeds United,30,35,28,2393,26.6,4,5,2,0.15,0.19,0.34,0.08,0.26,3.3,1.8,3.9,5.7,0.13,0.15,0.27,0.07,0.22
249,Robin Koch,GER,DFMF,Leeds United,24,17,13,1132,12.6,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,0.06,0.01,0.08,0.06,0.08
250,Sead Kolašinac,BIH,DF,Arsenal,27,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Terence Kongolo,NED,DF,Fulham,26,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
252,Ezri Konsa,ENG,DF,Aston Villa,22,36,35,3196,35.5,2,0,2,0.06,0,0.06,0.06,0.06,2.1,2.1,0.2,2.3,0.06,0.01,0.07,0.06,0.07
253,Cheikhou Kouyaté,SEN,DF,Crystal Palace,30,36,35,3121,34.7,1,0,1,0.03,0,0.03,0.03,0.03,0.8,0.8,0.2,1,0.02,0.01,0.03,0.02,0.03
254,Mateo Kovačić,CRO,MF,Chelsea,26,27,21,1815,20.2,0,1,0,0,0.05,0.05,0,0.05,1,1,1.8,2.9,0.05,0.09,0.14,0.05,0.14
255,Emil Krafth,SWE,DF,Newcastle Utd,25,16,14,1288,14.3,1,0,1,0.07,0,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04
256,Filip Krovinović,CRO,MF,West Brom,24,11,5,546,6.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09
257,Alexandre Lacazette,FRA,FW,Arsenal,29,31,22,1923,21.4,13,2,10,0.61,0.09,0.7,0.47,0.56,9.7,7.4,2.7,10.1,0.46,0.13,0.58,0.35,0.47
258,Adam Lallana,ENG,MFFW,Brighton,32,30,16,1596,17.7,1,1,1,0.06,0.06,0.11,0.06,0.11,2.4,2.4,2.8,5.3,0.14,0.16,0.3,0.14,0.3
259,Érik Lamela,ARG,FWMF,Tottenham,28,23,5,717,8,1,0,1,0.13,0,0.13,0.13,0.13,1.4,1.4,0.9,2.4,0.18,0.12,0.3,0.18,0.3
260,Tariq Lamptey,ENG,DF,Brighton,19,11,11,886,9.8,1,1,1,0.1,0.1,0.2,0.1,0.2,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17
261,Manuel Lanzini,ARG,MFFW,West Ham,27,17,5,566,6.3,1,1,1,0.16,0.16,0.32,0.16,0.32,1.2,1.2,0.9,2,0.18,0.14,0.32,0.18,0.32
262,Aymeric Laporte,ESP,DF,Manchester City,26,16,14,1344,14.9,0,0,0,0,0,0,0,0,0.8,0.8,0.7,1.5,0.05,0.05,0.1,0.05,0.1
263,Jamaal Lascelles,ENG,DF,Newcastle Utd,26,19,19,1625,18.1,2,0,2,0.11,0,0.11,0.11,0.11,1,1,0,1,0.05,0,0.06,0.05,0.06
264,Maxime Le Marchand,FRA,DF,Fulham,30,2,1,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
265,Mario Lemina,GAB,MF,Fulham,26,28,19,1703,18.9,1,0,1,0.05,0,0.05,0.05,0.05,0.9,0.9,0.8,1.8,0.05,0.04,0.09,0.05,0.09
266,Bernd Leno,GER,GK,Arsenal,28,35,35,3131,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,Khanya Leshabela,RSA,MF,Leicester City,20,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Jamal Lewis,NIR,DF,Newcastle Utd,22,24,20,1837,20.4,0,1,0,0,0.05,0.05,0,0.05,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09
269,Victor Lindelöf,SWE,DF,Manchester Utd,26,29,29,2585,28.7,1,1,1,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.7,1.3,0.02,0.02,0.05,0.02,0.05
270,Jesse Lingard,ENG,MFFW,West Ham,27,16,16,1421,15.8,9,4,8,0.57,0.25,0.82,0.51,0.76,5.1,3.4,1.5,4.9,0.32,0.09,0.42,0.22,0.31
271,Jake Livermore,ENG,MF,West Brom,30,18,15,1242,13.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.02,0.02,0.03,0.02,0.03
272,Diego Llorente,ESP,DF,Leeds United,26,15,14,1204,13.4,1,0,1,0.07,0,0.07,0.07,0.07,0.7,0.7,0.6,1.4,0.06,0.05,0.1,0.06,0.1
273,Hugo Lloris,FRA,GK,Tottenham,33,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Giovani Lo Celso,ARG,MF,Tottenham,24,18,11,945,10.5,1,1,1,0.1,0.1,0.19,0.1,0.19,1.2,1.2,1.3,2.4,0.11,0.12,0.23,0.11,0.23
275,Ruben Loftus-Cheek,ENG,MFFW,Fulham,24,30,21,1909,21.2,1,0,1,0.05,0,0.05,0.05,0.05,3.1,3.1,1.4,4.5,0.15,0.07,0.21,0.15,0.21
276,Ruben Loftus-Cheek,ENG,FW,Chelsea,24,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Kevin Long,IRL,DF,Burnley,29,8,7,637,7.1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04
278,Shane Long,IRL,FWMF,Southampton,33,11,1,210,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
279,Matthew Longstaff,ENG,MF,Newcastle Utd,20,5,4,377,4.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
280,Sean Longstaff,ENG,MF,Newcastle Utd,22,22,15,1412,15.7,0,1,0,0,0.06,0.06,0,0.06,1.4,1.4,1.1,2.5,0.09,0.07,0.16,0.09,0.16
281,Ademola Lookman,ENG,FWMF,Fulham,22,34,31,2747,30.5,4,4,4,0.13,0.13,0.26,0.13,0.26,5.5,4.8,5.2,10,0.18,0.17,0.35,0.16,0.33
282,Max Lowe,ENG,DF,Sheffield Utd,23,8,7,550,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04
283,Matthew Lowton,ENG,DF,Burnley,31,34,34,3060,34,1,1,1,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.3,3,0.02,0.07,0.09,0.02,0.09
284,David Luiz,BRA,DF,Arsenal,33,20,17,1396,15.5,1,0,1,0.06,0,0.06,0.06,0.06,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09
285,Douglas Luiz,BRA,MF,Aston Villa,22,33,32,2781,30.9,0,2,0,0,0.06,0.06,0,0.06,1.5,1.5,1.5,3,0.05,0.05,0.1,0.05,0.1
286,John Lundstram,ENG,MF,Sheffield Utd,26,28,23,2032,22.6,0,2,0,0,0.09,0.09,0,0.09,2,1.3,1.2,2.5,0.09,0.05,0.14,0.06,0.11
287,Alexis Mac Allister,ARG,MFFW,Brighton,21,21,13,1115,12.4,1,1,1,0.08,0.08,0.16,0.08,0.16,1.1,1.1,2.4,3.5,0.09,0.19,0.28,0.09,0.28
288,James Maddison,ENG,MFFW,Leicester City,23,31,24,2099,23.3,8,5,8,0.34,0.21,0.56,0.34,0.56,4.4,4.4,5.3,9.7,0.19,0.23,0.42,0.19,0.42
289,Harry Maguire,ENG,DF,Manchester Utd,27,34,34,3047,33.9,2,1,2,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07
290,Riyad Mahrez,ALG,FW,Manchester City,29,27,23,1949,21.7,9,6,9,0.42,0.28,0.69,0.42,0.69,5.6,5.6,5.9,11.5,0.26,0.27,0.53,0.26,0.53
291,Ainsley Maitland-Niles,ENG,MF,West Brom,22,15,14,1230,13.7,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,0.05,0.05,0.1,0.05,0.1
292,Ainsley Maitland-Niles,ENG,DF,Arsenal,22,11,5,490,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06
293,Josh Maja,NGA,FWMF,Fulham,21,15,9,810,9,3,0,2,0.33,0,0.33,0.22,0.22,4.8,4,1.1,5.1,0.53,0.12,0.65,0.45,0.57
294,Sadio Mané,SEN,FW,Liverpool,28,35,31,2810,31.2,11,7,11,0.35,0.22,0.58,0.35,0.58,15.2,15.2,5.7,20.9,0.49,0.18,0.67,0.49,0.67
295,Javier Manquillo,ESP,DF,Newcastle Utd,26,13,10,825,9.2,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.03,0.03,0,0.03
296,Fernando Marçal,BRA,DF,Wolves,31,13,7,623,6.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03
