Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
Joe Bryan,ENG,DFFW,Fulham,26.0,16,7,669,7.4,1,0,1,0.13,0.0,0.13,0.13,0.13,0.4,0.4,0.4,0.8,0.05,0.06,0.11,0.05,0.11,19,12,7,7,5,9,18,50.0,9,97,33,34.0,36,37,24,21,3,0,18,13,32,19,0,295,420,70.2,5236,2212,147,172,85.5,112,143,78.3,31,83,37.3,-0.4,6,23,5,2,27
Kean Bryan,ENG,DF,Sheffield Utd,23.0,13,12,1004,11.2,1,0,1,0.09,0.0,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,24,15,13,10,1,9,15,60.0,6,150,44,29.3,81,58,11,26,11,0,15,28,52,70,3,323,443,72.9,6614,3041,118,129,91.5,147,179,82.1,50,115,43.5,-0.4,4,27,3,1,22
Oliver Burke,SCO,FW,Sheffield Utd,23.0,25,14,1269,14.1,1,1,1,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.3,0.17,0.3,18,10,6,9,3,5,28,17.9,23,415,76,18.3,35,188,192,21,0,0,21,2,20,4,0,185,262,70.6,2434,326,114,147,77.6,52,67,77.6,5,12,41.7,-0.8,13,5,8,1,11
Dan Burn,ENG,DF,Brighton,28.0,27,23,2061,22.9,1,0,1,0.04,0.0,0.04,0.04,0.04,1.5,1.5,1.0,2.5,0.06,0.04,0.11,0.06,0.11,47,22,31,13,3,21,54,38.9,33,310,103,33.2,146,114,50,39,7,1,32,37,84,95,0,952,1242,76.7,16883,5286,399,488,81.8,477,572,83.4,66,142,46.5,-1.0,9,73,15,5,77
Oskar Buur,DEN,DF,Wolves,22.0,1,0,22,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,5,0,0.0,3,0,2,0,0,0,0,0,0,0,0,14,15,93.3,201,47,9,9,100.0,5,5,100.0,0,1,0.0,0.0,0,0,0,0,0
Gary Cahill,ENG,DF,Crystal Palace,34.0,20,20,1800,20.0,1,1,1,0.05,0.05,0.1,0.05,0.1,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07,13,7,10,3,0,4,10,40.0,6,101,29,28.7,66,27,8,45,28,0,17,19,32,127,2,590,697,84.6,12855,4415,164,191,85.9,328,351,93.4,94,148,63.5,0.3,8,34,1,0,34
Tom Cairney,SCO,MF,Fulham,29.0,10,9,759,8.4,1,1,1,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,5,4,1,2,2,0,3,0.0,3,65,21,32.3,18,32,15,6,0,0,6,1,6,3,0,551,621,88.7,11165,2009,214,227,94.3,227,247,91.9,100,128,78.1,-0.4,20,61,10,5,32
Dominic Calvert-Lewin,ENG,FW,Everton,23.0,33,32,2871,31.9,16,0,16,0.5,0.0,0.5,0.5,0.5,15.4,15.4,2.0,17.5,0.48,0.06,0.55,0.48,0.55,17,12,0,7,10,2,11,18.2,9,347,97,28.0,23,150,174,31,8,0,23,5,22,31,0,479,669,71.6,7196,1149,284,369,77.0,131,193,67.9,44,53,83.0,-2.0,17,27,11,1,36
João Cancelo,POR,DF,Manchester City,26.0,28,27,2299,25.5,2,3,2,0.08,0.12,0.2,0.08,0.2,2.0,2.0,4.9,6.9,0.08,0.19,0.27,0.08,0.27,77,44,41,26,10,41,89,46.1,48,338,121,35.8,137,125,76,38,3,0,35,53,130,36,1,1795,2094,85.7,31794,8986,852,923,92.3,731,832,87.9,190,276,68.8,-1.9,44,135,69,9,166
Ian Carlo Poveda,ENG,MFDF,Leeds United,20.0,14,0,355,3.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.09,0.21,0.3,0.09,0.3,9,7,6,1,2,6,12,50.0,6,78,21,26.9,28,29,21,4,1,0,3,2,11,0,0,86,117,73.5,1384,482,42,53,79.2,33,41,80.5,8,14,57.1,-0.8,4,7,9,2,18
Andy Carroll,ENG,FW,Newcastle Utd,31.0,18,4,392,4.4,1,0,1,0.23,0.0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,2,1,1,0,1,0,6,0.0,6,60,14,23.3,7,31,22,2,0,0,2,1,3,11,0,89,141,63.1,1415,433,53,74,71.6,26,46,56.5,7,14,50.0,-0.1,2,10,3,0,12
Fabio Carvalho,ENG,MFFW,Fulham,17.0,4,3,255,2.8,1,0,1,0.35,0.0,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.4,0.13,0.53,0.4,0.53,8,5,3,4,1,4,8,50.0,4,109,24,22.0,13,48,48,6,0,0,6,4,12,0,0,67,86,77.9,869,98,47,55,85.5,15,18,83.3,3,5,60.0,-0.4,2,3,2,0,5
Matty Cash,ENG,DF,Aston Villa,22.0,28,28,2372,26.4,0,2,0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,78,44,41,29,8,34,76,44.7,42,446,127,28.5,232,168,46,77,15,0,62,49,127,110,2,959,1298,73.9,18616,6966,394,440,89.5,412,517,79.7,141,307,45.9,-0.2,22,78,24,16,64
Timothy Castagne,BEL,DF,Leicester City,24.0,27,27,2345,26.1,2,3,2,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2.0,3.3,0.05,0.08,0.13,0.05,0.13,59,34,31,22,6,20,44,45.5,24,351,100,28.5,146,130,75,53,5,0,48,23,82,67,1,1267,1512,83.8,20653,7144,634,693,91.5,548,631,86.8,74,141,52.5,1.0,22,87,21,7,99
Jonny Castro,ESP,DF,Wolves,26.0,7,7,495,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,9,6,5,2,2,5,18,27.8,13,99,25,25.3,37,43,19,10,3,0,7,7,16,8,0,188,239,78.7,2770,1002,111,127,87.4,66,79,83.5,8,19,42.1,-0.1,3,8,1,1,11
Ivan Cavaleiro,POR,FWMF,Fulham,26.0,36,27,2472,27.5,3,0,2,0.11,0.0,0.11,0.07,0.07,5.4,4.7,3.4,8.0,0.2,0.12,0.32,0.17,0.29,28,21,13,10,5,4,22,18.2,18,444,131,29.5,82,182,180,38,1,0,37,18,46,22,1,600,834,71.9,10024,2429,307,379,81.0,213,264,80.7,60,131,45.8,-3.4,44,19,30,11,50
