Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
Raphael Dias Belloli,BRA,MF,Leeds United,23.0,30,26,2360,26.2,6,9,6,0.23,0.34,0.57,0.23,0.57,6.0,6.0,8.1,14.1,0.23,0.31,0.54,0.23,0.54,38,19,15,14,9,13,55,23.6,42,402,98,24.4,111,160,131,39,1,0,38,31,69,33,0,704,1057,66.6,13455,5385,323,380,85.0,253,359,70.5,113,249,45.4,0.9,66,81,42,9,135
Rúben Dias,POR,DF,Manchester City,23.0,32,32,2843,31.6,1,0,1,0.03,0.0,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0.0,0.08,0.07,0.08,31,21,17,12,2,6,23,26.1,17,181,67,37.0,92,70,19,45,25,0,20,22,53,118,0,2499,2672,93.5,54265,14607,617,647,95.4,1427,1471,97.0,439,520,84.4,-0.1,3,166,9,1,116
Eric Dier,ENG,DF,Tottenham,26.0,28,28,2520,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,1.0,0.03,0.0,0.03,0.03,0.03,24,15,13,10,1,12,22,54.5,10,166,48,28.9,106,52,8,50,34,0,16,23,47,169,0,1400,1654,84.6,31629,10688,393,433,90.8,711,766,92.8,289,429,67.4,-0.1,3,72,5,0,62
Lucas Digne,FRA,DF,Everton,27.0,30,30,2681,29.8,0,7,0,0.0,0.23,0.23,0.0,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.2,0.02,0.2,78,40,53,14,11,29,50,58.0,21,412,106,25.7,195,141,76,59,4,0,55,26,104,96,0,1225,1690,72.5,22044,8899,578,664,87.0,488,631,77.3,135,307,44.0,1.6,44,63,37,26,108
Virgil van Dijk,NED,DF,Liverpool,29.0,5,5,370,4.1,1,0,1,0.24,0.0,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.0,0.08,0.08,0.08,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,296,329,90.0,7078,2109,61,65,93.8,176,186,94.6,59,77,76.6,0.0,0,26,0,0,20
Issa Diop,FRA,DF,West Ham,23.0,18,15,1381,15.3,2,0,2,0.13,0.0,0.13,0.13,0.13,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,26,19,14,12,0,6,18,33.3,12,113,41,36.3,61,48,4,35,24,1,11,14,40,82,2,475,563,84.4,9379,2899,160,184,87.0,244,267,91.4,65,101,64.4,0.0,1,28,0,0,22
Moussa Djenepo,MLI,MF,Southampton,22.0,27,15,1240,13.8,1,0,1,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.6,1.5,0.07,0.04,0.11,0.07,0.11,46,22,25,11,10,18,53,34.0,35,332,95,28.6,122,124,86,27,1,0,26,11,57,16,0,295,400,73.8,4570,1263,160,192,83.3,111,139,79.9,18,33,54.5,-0.6,7,17,13,2,24
Matt Doherty,IRL,DF,Tottenham,28.0,17,13,1240,13.8,0,2,0,0.0,0.15,0.15,0.0,0.15,0.4,0.4,0.8,1.2,0.03,0.06,0.09,0.03,0.09,23,8,10,8,5,11,34,32.4,23,186,38,20.4,80,70,36,41,5,0,36,18,41,54,0,666,826,80.6,10945,4240,359,402,89.3,249,307,81.1,47,88,53.4,1.2,11,23,14,7,43
Gabriel Dos Santos,BRA,DF,Arsenal,22.0,23,22,1996,22.2,2,0,2,0.09,0.0,0.09,0.09,0.09,1.0,1.0,0.1,1.1,0.05,0.0,0.05,0.05,0.05,28,17,22,5,1,9,17,52.9,8,151,55,36.4,95,49,7,41,23,0,18,23,51,106,2,1283,1492,86.0,27010,7820,378,414,91.3,675,722,93.5,217,330,65.8,-0.1,2,82,3,2,53
Abdoulaye Doucouré,FRA,MF,Everton,27.0,29,29,2443,27.1,2,3,2,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,56,42,30,19,7,17,45,37.8,28,544,158,29.0,228,219,97,43,9,0,34,35,91,29,1,1146,1333,86.0,20026,4093,517,588,87.9,482,534,90.3,117,147,79.6,0.8,18,69,21,1,65
Paul Dummett,WAL,DF,Newcastle Utd,28.0,15,14,1255,13.9,1,0,1,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,21,11,13,7,1,10,20,50.0,10,119,28,23.5,81,32,6,30,10,0,20,17,38,95,1,411,535,76.8,7707,3851,185,200,92.5,166,200,83.0,52,119,43.7,-0.5,4,31,5,2,23
Lewis Dunk,ENG,DF,Brighton,28.0,33,33,2931,32.6,5,0,5,0.15,0.0,0.15,0.15,0.15,2.5,2.5,0.9,3.4,0.08,0.03,0.1,0.08,0.1,34,19,22,10,2,12,23,52.2,11,188,70,37.2,99,76,13,40,24,1,16,29,63,126,2,1935,2151,90.0,45296,12437,477,505,94.5,1000,1051,95.1,442,570,77.5,-0.9,9,116,2,0,70
Jimmy Dunne,IRL,DF,Burnley,22.0,3,3,270,3.0,1,0,1,0.33,0.0,0.33,0.33,0.33,0.4,0.4,0.1,0.5,0.14,0.04,0.17,0.14,0.17,4,2,3,1,0,2,2,100.0,0,24,11,45.8,16,7,1,7,4,0,3,3,7,19,0,104,146,71.2,2320,570,29,37,78.4,52,68,76.5,22,38,57.9,-0.1,2,1,1,0,2
Kyle Edwards,ENG,MFFW,West Brom,22.0,5,1,118,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.11,0.11,0.11,3,0,1,1,1,0,1,0.0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,30,35,85.7,420,91,18,18,100.0,12,13,92.3,0,2,0.0,0.0,0,3,0,0,3
John Egan,IRL,DF,Sheffield Utd,27.0,31,30,2629,29.2,0,1,0,0.0,0.03,0.03,0.0,0.03,0.7,0.7,0.3,1.0,0.02,0.01,0.03,0.02,0.03,47,30,34,12,1,17,34,50.0,17,247,81,32.8,155,87,5,56,33,1,23,41,88,160,1,925,1094,84.6,21851,6700,231,253,91.3,480,526,91.3,209,301,69.4,0.7,3,81,7,1,58
Anthony Elanga,SWE,FW,Manchester Utd,18.0,2,2,155,1.7,1,0,1,0.58,0.0,0.58,0.58,0.58,0.3,0.3,0.0,0.3,0.16,0.02,0.18,0.16,0.18,4,1,3,1,0,3,6,50.0,3,49,11,22.4,18,22,9,2,1,0,1,1,5,1,0,43,53,81.1,672,121,25,28,89.3,11,13,84.6,5,6,83.3,0.0,1,4,0,0,2
Ahmed Elmohamady,EGY,DF,Aston Villa,32.0,14,8,839,9.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.05,0.07,0.12,0.05,0.12,18,13,10,4,4,6,10,60.0,4,74,28,37.8,39,26,9,15,4,0,11,27,45,32,0,464,594,78.1,8879,3641,193,210,91.9,200,257,77.8,66,113,58.4,-0.6,13,36,26,8,48
Mohamed Elneny,EGY,MF,Arsenal,28.0,23,17,1544,17.2,1,0,1,0.06,0.0,0.06,0.06,0.06,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,16,11,9,7,0,5,19,26.3,14,197,57,28.9,71,91,35,18,4,0,14,20,36,24,1,937,1003,93.4,18475,3672,334,351,95.2,458,476,96.2,136,157,86.6,-0.2,4,77,9,0,60
Jonny Evans,NIR,DF,Leicester City,32.0,28,28,2473,27.5,2,2,2,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07,21,12,17,3,1,10,21,47.6,11,168,66,39.3,112,53,3,27,6,0,21,41,62,146,0,1544,1764,87.5,33869,10330,383,415,92.3,873,927,94.2,277,402,68.9,1.7,8,92,3,0,63
Eberechi Eze,ENG,MF,Crystal Palace,22.0,34,29,2559,28.4,4,6,4,0.14,0.21,0.35,0.14,0.35,2.2,2.2,2.8,5.1,0.08,0.1,0.18,0.08,0.18,38,22,18,14,6,14,36,38.9,22,319,91,28.5,89,162,68,32,3,0,29,29,67,6,0,918,1158,79.3,14737,4359,503,564,89.2,297,360,82.5,85,174,48.9,3.2,39,77,32,3,111
Fabinho,BRA,DFMF,Liverpool,26.0,30,28,2567,28.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.02,0.01,0.03,0.02,0.03,72,51,25,40,7,25,56,44.6,31,351,115,32.8,120,200,31,41,12,0,29,49,121,106,0,1867,2049,91.1,38166,9896,592,632,93.7,984,1039,94.7,272,350,77.7,-0.4,3,110,16,1,102
Bruno Fernandes,POR,MF,Manchester Utd,25.0,37,35,3099,34.4,18,12,9,0.52,0.35,0.87,0.26,0.61,15.4,7.8,11.0,18.8,0.45,0.32,0.77,0.23,0.55,60,39,21,25,14,18,90,20.0,72,718,179,24.9,117,344,257,40,1,0,39,22,82,27,0,1702,2283,74.6,32546,9338,811,946,85.7,587,736,79.8,269,470,57.2,1.0,94,177,96,8,227
Federico Fernández,ARG,DF,Newcastle Utd,31.0,24,24,2079,23.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.01,0.01,0.03,0.01,0.03,35,17,26,7,2,14,25,56.0,11,183,51,27.9,129,47,7,51,32,0,19,17,52,166,1,671,837,80.2,14632,4358,191,221,86.4,344,387,88.9,131,209,62.7,-0.3,5,19,3,2,19
Fernandinho,BRA,MF,Manchester City,35.0,21,12,1188,13.2,0,2,0,0.0,0.15,0.15,0.0,0.15,0.8,0.8,0.9,1.7,0.06,0.07,0.13,0.06,0.13,31,22,6,17,8,12,38,31.6,26,223,75,33.6,47,142,34,15,1,0,14,26,57,32,0,878,1001,87.7,16840,4565,372,407,91.4,384,423,90.8,117,159,73.6,1.1,12,135,17,2,96
Sam Field,ENG,MF,West Brom,22.0,3,0,62,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,15,23,65.2,223,41,10,14,71.4,4,5,80.0,1,3,33.3,0.0,0,1,0,0,2
Roberto Firmino,BRA,FW,Liverpool,28.0,36,33,2838,31.5,9,7,9,0.29,0.22,0.51,0.29,0.51,12.6,12.6,6.4,19.0,0.4,0.2,0.6,0.4,0.6,35,22,4,14,17,12,38,31.6,26,596,175,29.4,73,279,244,58,5,0,53,10,45,11,0,1043,1308,79.7,15705,3943,592,692,85.5,347,431,80.5,64,91,70.3,0.6,46,85,43,0,134
John Fleck,SCO,MF,Sheffield Utd,28.0,31,29,2575,28.6,0,2,0,0.0,0.07,0.07,0.0,0.07,0.9,0.9,2.7,3.5,0.03,0.09,0.12,0.03,0.12,46,27,26,16,4,16,69,23.2,53,506,127,25.1,178,246,82,37,5,0,32,39,85,18,1,946,1213,78.0,15645,4958,495,544,91.0,315,384,82.0,104,226,46.0,-0.7,34,113,25,4,103
Phil Foden,ENG,FWMF,Manchester City,20.0,28,17,1616,18.0,9,5,9,0.5,0.28,0.78,0.5,0.78,5.5,5.5,4.1,9.7,0.31,0.23,0.54,0.31,0.54,26,16,10,11,5,10,21,47.6,11,307,88,28.7,51,117,139,15,1,0,14,12,38,12,0,687,838,82.0,10452,2218,402,443,90.7,224,267,83.9,42,87,48.3,0.9,34,40,24,2,60
Wesley Fofana,FRA,DF,Leicester City,19.0,28,27,2262,25.1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,0.04,0.01,0.05,0.04,0.05,63,41,38,24,1,18,34,52.9,16,248,83,33.5,139,101,8,47,21,0,26,51,114,125,0,1474,1672,88.2,31056,8308,456,498,91.6,755,816,92.5,252,333,75.7,-0.3,6,112,1,0,78
Pablo Fornals,ESP,FWMF,West Ham,24.0,33,31,2572,28.6,5,4,5,0.17,0.14,0.31,0.17,0.31,6.5,6.5,2.5,9.0,0.23,0.09,0.32,0.23,0.32,44,29,16,21,7,7,82,8.5,75,577,120,20.8,177,273,127,53,1,0,52,33,77,9,1,852,1102,77.3,14075,4100,455,523,87.0,302,387,78.0,78,134,58.2,1.5,30,72,32,5,108
Timothy Fosu-Mensah,NED,DF,Manchester Utd,22.0,1,1,80,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.03,0.31,0.34,0.03,0.34,3,1,2,1,0,1,1,100.0,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,65,75,86.7,1070,258,30,34,88.2,32,34,94.1,3,6,50.0,-0.3,2,4,1,1,1
Ryan Fraser,SCO,FWMF,Newcastle Utd,26.0,18,9,928,10.3,0,2,0,0.0,0.19,0.19,0.0,0.19,0.9,0.9,2.1,3.0,0.09,0.2,0.29,0.09,0.29,4,1,3,1,0,0,2,0.0,2,114,19,16.7,18,51,45,8,0,0,8,3,7,3,0,243,369,65.9,4220,1330,119,138,86.2,85,119,71.4,31,88,35.2,-0.1,25,7,10,9,17
Fred,BRA,MF,Manchester Utd,27.0,30,27,2390,26.6,1,0,1,0.04,0.0,0.04,0.04,0.04,1.9,1.9,2.5,4.5,0.07,0.1,0.17,0.07,0.17,88,55,37,41,10,30,87,34.5,57,639,200,31.3,228,300,111,62,9,0,53,47,135,33,0,1555,1763,88.2,30912,7561,570,625,91.2,708,765,92.5,250,306,81.7,-2.5,24,174,18,0,149
Ryan Fredericks,ENG,DFFW,West Ham,27.0,14,6,569,6.3,1,1,1,0.16,0.16,0.32,0.16,0.32,0.3,0.3,1.2,1.5,0.05,0.19,0.24,0.05,0.24,13,6,7,6,0,6,13,46.2,7,65,13,20.0,38,14,13,16,2,0,14,8,21,22,0,203,279,72.8,2971,1082,120,140,85.7,68,97,70.1,8,25,32.0,-0.2,13,9,13,7,15
Christian Fuchs,AUT,DF,Leicester City,34.0,9,8,702,7.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,15,9,13,1,1,5,14,35.7,9,87,23,26.4,53,27,7,16,4,1,12,12,27,31,0,478,589,81.2,9088,3503,204,229,89.1,218,256,85.2,55,93,59.1,0.0,1,42,2,1,33
Darnell Furlong,ENG,DF,West Brom,24.0,35,32,2932,32.6,1,3,1,0.03,0.09,0.12,0.03,0.12,2.0,2.0,2.1,4.1,0.06,0.06,0.13,0.06,0.13,49,17,29,15,5,19,41,46.3,22,290,83,28.6,131,105,54,80,16,1,64,28,77,120,1,700,1177,59.5,13398,6065,309,396,78.0,269,443,60.7,107,285,37.5,0.9,17,59,18,14,78
Conor Gallagher,ENG,MF,West Brom,20.0,30,28,2531,28.1,2,2,2,0.07,0.07,0.14,0.07,0.14,1.8,1.8,1.6,3.4,0.06,0.06,0.12,0.06,0.12,82,53,31,40,11,22,97,22.7,75,709,180,25.4,232,345,132,63,8,0,55,39,121,30,1,742,954,77.8,13360,3015,338,401,84.3,284,322,88.2,97,177,54.8,0.4,18,76,15,2,54
Eric García,ESP,DF,Manchester City,19.0,6,3,383,4.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05,10,4,7,2,1,3,10,30.0,7,49,13,26.5,30,18,1,5,1,0,4,5,15,12,0,322,344,93.6,6792,1869,94,99,94.9,173,177,97.7,54,66,81.8,-0.1,2,29,0,0,16
Dwight Gayle,ENG,FWMF,Newcastle Utd,29.0,18,4,514,5.7,1,1,1,0.18,0.18,0.35,0.18,0.35,2.0,2.0,0.5,2.6,0.36,0.09,0.45,0.36,0.45,6,4,2,4,0,1,5,20.0,4,90,22,24.4,13,36,41,3,2,0,1,1,7,0,0,91,114,79.8,1216,156,61,69,88.4,24,30,80.0,3,9,33.3,0.5,6,0,2,0,3
Jean-Philippe Gbamin,CIV,MF,Everton,24.0,1,0,12,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0.0,1,4,2,50.0,0,1,3,1,0,0,1,0,1,1,0,6,9,66.7,122,36,3,4,75.0,2,3,66.7,1,1,100.0,0.0,0,1,0,0,1
Anwar El Ghazi,NED,FW,Aston Villa,25.0,28,17,1613,17.9,10,0,6,0.56,0.0,0.56,0.33,0.33,8.1,5.1,2.3,7.3,0.45,0.13,0.58,0.28,0.41,16,10,8,5,3,4,18,22.2,14,218,52,23.9,60,82,76,11,0,0,11,10,26,12,0,432,613,70.5,6996,1939,241,293,82.3,135,184,73.4,39,81,48.1,-2.3,24,27,18,10,39
Kieran Gibbs,ENG,DF,West Brom,30.0,10,9,809,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.03,0.04,0.01,0.04,14,6,9,3,2,3,7,42.9,4,80,20,25.0,42,30,8,17,6,0,11,14,28,33,0,223,309,72.2,3929,1436,103,116,88.8,97,132,73.5,21,54,38.9,-0.3,3,15,3,3,16
Morgan Gibbs-White,ENG,FWMF,Wolves,20.0,11,4,414,4.6,1,0,1,0.22,0.0,0.22,0.22,0.22,1.0,1.0,0.6,1.6,0.21,0.13,0.34,0.21,0.34,7,6,2,3,2,3,11,27.3,8,109,37,33.9,21,48,40,6,0,0,6,4,11,1,0,190,235,80.9,3219,704,95,112,84.8,69,79,87.3,22,35,62.9,-0.6,9,16,3,0,22
Billy Gilmour,SCO,MF,Chelsea,19.0,5,3,261,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.04,0.06,0.01,0.06,3,1,1,2,0,1,6,16.7,5,68,18,26.5,24,34,10,5,2,0,3,5,8,1,0,192,215,89.3,3746,531,76,80,95.0,87,97,89.7,28,36,77.8,-0.1,3,15,1,0,9
Olivier Giroud,FRA,FW,Chelsea,33.0,17,8,748,8.3,4,0,4,0.48,0.0,0.48,0.48,0.48,4.8,4.8,0.7,5.5,0.58,0.09,0.66,0.58,0.66,8,4,0,5,3,0,3,0.0,3,132,35,26.5,15,51,66,3,1,0,2,4,12,10,0,161,217,74.2,2002,251,111,145,76.6,29,41,70.7,8,8,100.0,-0.7,7,7,1,0,7
Ben Godfrey,ENG,DF,Everton,22.0,31,29,2685,29.8,0,2,0,0.0,0.07,0.07,0.0,0.07,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,56,29,40,14,2,25,39,64.1,14,370,115,31.1,237,110,23,85,39,1,46,45,101,135,0,1102,1302,84.6,21710,5735,378,428,88.3,566,621,91.1,138,206,67.0,1.5,1,58,5,2,51
André Gomes,POR,MF,Everton,27.0,28,17,1570,17.4,0,1,0,0.0,0.06,0.06,0.0,0.06,0.5,0.5,1.0,1.4,0.03,0.05,0.08,0.03,0.08,48,34,22,23,3,19,58,32.8,39,369,119,32.2,124,186,59,30,1,0,29,15,63,9,0,750,901,83.2,14845,3523,309,353,87.5,309,354,87.3,120,170,70.6,0.0,15,82,13,2,80
Joe Gomez,ENG,DF,Liverpool,23.0,7,6,590,6.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,3,0,0,4,0.0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,481,533,90.2,11406,3067,99,106,93.4,279,297,93.9,99,123,80.5,0.0,1,30,0,0,38
Anthony Gordon,ENG,FWMF,Everton,19.0,3,1,88,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,3,2,3,0,0,0,2,0.0,2,18,3,16.7,5,9,4,2,0,0,2,1,4,1,0,22,26,84.6,365,94,12,13,92.3,8,8,100.0,2,4,50.0,0.0,1,1,2,0,3
Karlan Grant,ENG,FWMF,West Brom,22.0,21,14,1127,12.5,1,0,1,0.08,0.0,0.08,0.08,0.08,2.1,2.1,0.0,2.1,0.17,0.0,0.17,0.17,0.17,6,3,3,3,0,3,6,50.0,3,167,41,24.6,24,64,79,7,0,0,7,11,17,13,0,167,228,73.2,2453,345,95,120,79.2,55,65,84.6,10,16,62.5,0.0,0,5,6,0,9
Jack Grealish,ENG,FWMF,Aston Villa,24.0,26,24,2185,24.3,6,10,6,0.25,0.41,0.66,0.25,0.66,4.3,4.3,8.6,12.9,0.18,0.35,0.53,0.18,0.53,27,19,6,15,6,4,18,22.2,14,316,100,31.6,85,115,116,26,3,0,23,13,40,6,1,864,1100,78.5,14722,5062,439,515,85.2,307,362,84.8,91,153,59.5,1.4,83,84,72,4,168
Mason Greenwood,ENG,FW,Manchester Utd,18.0,31,21,1822,20.2,7,2,7,0.35,0.1,0.44,0.35,0.44,7.4,7.4,1.8,9.2,0.37,0.09,0.45,0.37,0.45,19,12,8,6,5,4,23,17.4,19,263,74,28.1,53,115,95,7,0,0,7,9,28,3,0,608,732,83.1,9990,1630,337,381,88.5,205,236,86.9,51,79,64.6,0.2,15,26,17,3,42
Pascal Groß,GER,MFDF,Brighton,29.0,34,27,2484,27.6,3,8,0,0.11,0.29,0.4,0.0,0.29,5.6,2.5,5.5,8.0,0.2,0.2,0.4,0.09,0.29,44,24,24,15,5,19,47,40.4,28,430,112,26.0,141,189,100,33,5,0,28,25,69,24,0,1260,1669,75.5,25820,7297,504,590,85.4,506,606,83.5,236,424,55.7,2.5,67,81,50,17,129
Kamil Grosicki,POL,FWMF,West Brom,32.0,3,2,148,1.6,0,1,0,0.0,0.61,0.61,0.0,0.61,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,1,0,1,0,0,1,6,16.7,5,22,3,13.6,11,8,3,1,0,0,1,0,1,2,0,32,49,65.3,532,171,13,16,81.3,15,20,75.0,2,10,20.0,0.9,3,4,1,0,5
İlkay Gündoğan,GER,MF,Manchester City,29.0,28,23,2029,22.5,13,2,12,0.58,0.09,0.67,0.53,0.62,9.0,7.5,4.5,12.0,0.4,0.2,0.6,0.33,0.53,25,18,9,10,6,8,37,21.6,29,215,65,30.2,46,102,67,15,4,0,11,19,44,14,0,1553,1707,91.0,26232,4924,786,832,94.5,603,648,93.1,138,181,76.2,-2.5,42,140,35,2,118
Sébastien Haller,CIV,FW,West Ham,26.0,16,10,937,10.4,3,0,3,0.29,0.0,0.29,0.29,0.29,2.9,2.9,1.2,4.1,0.28,0.12,0.4,0.28,0.4,11,4,1,5,5,4,18,22.2,14,199,42,21.1,12,115,72,4,1,0,3,5,16,7,0,171,252,67.9,2749,525,99,137,72.3,47,65,72.3,17,28,60.7,-1.2,9,13,5,1,19
Rekeem Harper,ENG,MF,West Brom,20.0,2,0,32,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,2,1,1,1,0,1,1,100.0,0,10,0,0.0,2,7,1,0,0,0,0,0,2,0,0,13,16,81.3,242,33,5,6,83.3,7,7,100.0,1,3,33.3,0.0,0,2,0,0,1
Jack Harrison,ENG,MF,Leeds United,23.0,36,34,2847,31.6,8,8,8,0.25,0.25,0.51,0.25,0.51,6.6,6.6,7.1,13.7,0.21,0.22,0.43,0.21,0.43,67,35,29,25,13,19,51,37.3,32,631,175,27.7,167,226,238,39,3,0,36,25,92,26,0,788,1162,67.8,13468,4538,399,506,78.9,301,398,75.6,75,186,40.3,0.9,58,37,65,20,111
Kortney Hause,ENG,DF,Aston Villa,25.0,7,7,630,7.0,1,0,1,0.14,0.0,0.14,0.14,0.14,1.2,1.2,0.0,1.2,0.17,0.0,0.17,0.17,0.17,5,4,3,2,0,0,1,0.0,1,39,14,35.9,24,14,1,6,4,0,2,12,17,65,0,169,216,78.2,3950,1252,39,47,83.0,91,103,88.3,37,62,59.7,0.0,0,11,0,0,10
Kai Havertz,GER,MFFW,Chelsea,21.0,27,18,1520,16.9,4,3,4,0.24,0.18,0.41,0.24,0.41,6.3,6.3,1.6,7.8,0.37,0.09,0.46,0.37,0.46,19,11,5,11,3,4,23,17.4,19,261,59,22.6,39,127,95,27,2,0,25,11,30,15,1,659,765,86.1,9572,1457,392,431,91.0,200,230,87.0,41,51,80.4,1.4,17,34,19,2,42
Isaac Hayden,ENG,MFDF,Newcastle Utd,25.0,24,22,1942,21.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,50,34,14,28,8,7,27,25.9,20,407,101,24.8,158,194,55,42,8,0,34,46,96,57,1,629,790,79.6,12063,2698,247,291,84.9,295,339,87.0,83,123,67.5,-0.4,5,48,3,1,41
Michael Hector,JAM,DF,Fulham,28.0,4,3,263,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,7,5,4,3,0,3,7,42.9,4,28,11,39.3,21,7,0,6,3,1,3,0,7,11,0,139,175,79.4,3485,1313,21,25,84.0,78,83,94.0,39,64,60.9,0.0,1,10,1,0,11
Jordan Henderson,ENG,MFDF,Liverpool,30.0,21,20,1704,18.9,1,1,1,0.05,0.05,0.11,0.05,0.11,1.7,1.7,1.4,3.0,0.09,0.07,0.16,0.09,0.16,19,9,8,7,4,8,29,27.6,21,185,60,32.4,60,86,39,28,4,1,24,30,49,43,1,1572,1812,86.8,32801,8619,517,562,92.0,779,824,94.5,260,391,66.5,-0.4,12,206,30,1,145
Jeff Hendrick,IRL,MF,Newcastle Utd,28.0,22,17,1422,15.8,2,1,2,0.13,0.06,0.19,0.13,0.19,1.1,1.1,0.7,1.8,0.07,0.05,0.11,0.07,0.11,6,4,3,3,0,2,14,14.3,12,173,48,27.7,41,104,28,24,9,0,15,12,18,28,0,429,533,80.5,7532,1770,194,231,84.0,174,194,89.7,49,73,67.1,0.3,4,27,5,1,35
Pablo Hernández,ESP,MFFW,Leeds United,35.0,16,3,427,4.7,0,2,0,0.0,0.42,0.42,0.0,0.42,1.2,1.2,0.7,1.8,0.25,0.14,0.39,0.25,0.39,5,2,2,1,2,4,18,22.2,14,72,19,26.4,11,40,21,2,0,0,2,5,10,1,0,290,391,74.2,5651,1947,120,146,82.2,117,145,80.7,47,76,61.8,1.3,6,48,13,1,63
Son Heung-min,KOR,FW,Tottenham,28.0,37,36,3114,34.6,17,10,16,0.49,0.29,0.78,0.46,0.75,10.3,9.5,8.9,18.4,0.3,0.26,0.55,0.27,0.53,29,17,9,15,5,13,71,18.3,58,617,141,22.9,120,319,178,34,3,0,31,23,52,4,0,920,1199,76.7,14606,3244,517,596,86.7,273,344,79.4,88,189,46.6,1.1,77,32,29,2,64
Ki-Jana Hoever,NED,DF,Wolves,18.0,12,5,577,6.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,18,10,15,2,1,8,19,42.1,11,133,29,21.8,80,43,10,7,1,0,6,10,28,19,0,260,351,74.1,4487,1573,128,149,85.9,109,147,74.1,20,37,54.1,-0.2,3,14,3,1,14
