,Player,Market Value (Millions USD)
364,Rhys Norrington-Davies,1.65
365,Jayden Bogle,7.7
366,George Baldock,5.5
367,Sander Berge,19.8
368,Jack Rodwell,0.88
369,John Lundstram,7.7
370,John Fleck,5.5
371,Oliver Norwood,5.5
372,Ben Osborn,2.2
373,Luke Freeman,2.2
374,Rhian Brewster,13.2
375,Oliver McBurnie,11.0
376,Lys Mousset,9.9
377,Oliver Burke,6.6
378,David McGoldrick,1.65
379,Daniel Jebbison,1.1
380,Billy Sharp,0.55
381,Alex McCarthy,5.5
382,Angus Gunn,3.3
383,Fraser Forster,3.3
384,Harry Lewis,0.22
385,Jan Bednarek,27.5
386,Jannik Vestergaard,19.8
387,Mohammed Salisu,11.0
388,Jack Stephens,5.5
389,Wesley Hoedt,4.4
390,Ryan Bertrand,8.8
391,Sam McQueen,0.88
392,Kyle Walker-Peters,19.8
393,Yan Valery,3.3
394,Ibrahima Diallo,16.5
395,Mario Lemina,11.0
396,Oriol Romeu,6.6
397,James Ward-Prowse,33.0
398,Stuart Armstrong,8.8
399,Will Smallbone,2.2
400,Jake Hesketh,0.22
401,Nathan Redmond,19.8
402,Moussa Djenepo,14.3
403,Mohamed Elyounoussi,13.2
404,Nathan Tella,2.2
405,Josh Sims,1.32
406,Danny Ings,24.2
407,Ché Adams,22.0
408,Michael Obafemi,3.3
409,Dan N'Lundulu,1.65
410,Shane Long,1.32
411,Hugo Lloris,9.9
412,Paulo Gazzaniga,3.3
413,Joe Hart,2.2
414,Alfie Whiteman,1.1
415,Davinson Sánchez,35.2
416,Eric Dier,24.2
417,Juan Foyth,13.2
418,Toby Alderweireld,12.1
419,Joe Rodon,11.0
420,Japhet Tanganga,8.8
421,Cameron Carter-Vickers,2.2
422,Sergio Reguilón,27.5
423,Ryan Sessegnon,19.8
424,Ben Davies,17.6
425,Danny Rose,3.3
426,Serge Aurier,22.0
427,Matt Doherty,17.6
428,Harry Winks,22.0
429,Oliver Skipp,11.0
430,Tanguy Ndombélé,55.0
431,Pierre-Emile Höjbjerg,38.5
432,Giovani Lo Celso,29.7
433,Moussa Sissoko,11.0
434,Dele Alli,33.0
435,Heung-min Son,93.5
436,Steven Bergwijn,24.2
437,Lucas Moura,27.5
438,Erik Lamela,17.6
439,Jack Clarke,5.5
440,Harry Kane,132.0
441,Sam Johnstone,8.8
442,David Button,1.1
443,Alex Palmer,0.275
444,Andy Lonergan,0.275
445,Semi Ajayi,6.6
446,Ahmed Hegazy,4.4
447,Dara O'Shea,3.3
448,Kyle Bartley,2.75
449,Cédric Kipré,1.1
450,Branislav Ivanovic,0.55
451,Kieran Gibbs,2.75
452,Conor Townsend,2.2
453,Darnell Furlong,5.5
454,Lee Peltier,0.44
455,Jake Livermore,2.75
456,Rekeem Harper,2.75
457,Romaine Sawyers,2.2
458,Sam Field,1.1
459,Kyle Edwards,1.1
460,Grady Diangana,11.0
461,Kamil Grosicki,1.1
462,Matheus Pereira,16.5
463,Matt Phillips,4.4
464,Robert Snodgrass,1.65
465,Karlan Grant,8.8
466,Callum Robinson,6.6
467,Charlie Austin,2.2
468,Kenneth Zohore,2.2
469,Hal Robson-Kanu,1.65
470,Rui Patrício,11.0
471,John Ruddy,0.88
472,Andreas Söndergaard,0.22
473,Matija Sarkic,0.11
474,Conor Coady,27.5
475,Willy Boly,15.4
476,Romain Saïss,11.0
477,Max Kilman,4.95
478,Jonny Otto,16.5
479,Rúben Vinagre,5.5
480,Marçal,1.98
481,Nélson Semedo,30.8
482,Ki-Jana Hoever,7.7
483,Rúben Neves,49.5
484,Leander Dendoncker,33.0
485,Owen Otasowie,1.65
486,Morgan Gibbs-White,7.7
487,João Moutinho,4.4
488,Bruno Jordão,2.75
489,Connor Ronan,0.495
490,Pedro Neto,38.5
491,Adama Traoré,33.0
492,Daniel Podence,27.5
493,Raúl Jiménez,30.8
494,Fábio Silva,27.5
495,Rafa Mir,13.2
496,Patrick Cutrone,9.9
497,Leonardo Campana,1.32
498,Renat Dadashov,0.33
499,Marek Rodak,5.5
500,Marcus Bettinelli,2.75
501,Fabri,0.66
502,Tosin Adarabioyo,13.2
503,Alfie Mawson,4.4
504,Michael Hector,3.85
505,Terence Kongolo,3.85
506,Maxime Le Marchand,1.65
507,Tim Ream,0.66
508,Antonee Robinson,7.7
509,Joe Bryan,5.5
510,Kenny Tete,5.5
511,Steven Sessegnon,2.2
512,Cyrus Christie,1.65
513,Denis Odoi,0.66
514,André Zambo Anguissa,27.5
515,Kevin McDonald,0.88
516,Harrison Reed,11.0
517,Tom Cairney,9.9
518,Jean Michaël Seri,4.4
519,Stefan Johansen,2.2
520,Bobby Reid,11.0
521,Josh Onomah,6.6
522,Neeskens Kebano,1.1
523,Ivan Cavaleiro,7.7
524,Anthony Knockaert,3.3
525,Aleksandar Mitrovic,17.6
526,Aboubakar Kamara,2.2
527,Nick Pope,16.5
528,Bailey Peacock-Farrell,1.1
529,Will Norris,0.44
530,James Tarkowski,27.5
531,Ben Gibson,7.7
532,Ben Mee,6.6
533,Kevin Long,1.1
534,Jimmy Dunne,0.66
535,Charlie Taylor,4.4
536,Erik Pieters,1.65
537,Matthew Lowton,2.75
538,Phil Bardsley,0.33
539,Jack Cork,5.5
540,Ashley Westwood,5.5
541,Josh Brownhill,7.7
542,Dale Stephens,2.75
543,Josh Benson,0.44
544,Robbie Brady,3.3
545,Dwight McNeil,24.2
546,Jóhann Berg Gudmundsson,3.3
547,Chris Wood,8.8
548,Jay Rodríguez,4.4
549,Ashley Barnes,3.85
550,Matej Vydra,3.3
551,Joel Mumbongo,0.33
552,Robert Sánchez,8.8
553,Mathew Ryan,6.6
554,Jason Steele,0.88
555,Christian Walton,0.88
556,Ben White,30.8
557,Lewis Dunk,27.5
558,Adam Webster,19.8
559,Shane Duffy,5.5
560,Dan Burn,5.5
561,Matt Clarke,3.3
562,Leo Östigard,3.3
563,Jan Paul van Hecke,2.42
564,Michal Karbownik,5.5
565,Bernardo,4.4
566,Joël Veltman,6.6
567,Tudor Baluta,2.2
568,Yves Bissouma,27.5
569,Jakub Moder,11.0
570,Davy Pröpper,8.8
571,Pascal Groß,7.7
572,Steven Alzate,6.6
573,Moisés Caicedo,5.5
574,Tariq Lamptey,19.8
575,Solly March,9.9
576,Alexis Mac Allister,11.0
577,Adam Lallana,4.4
578,Percy Tau,3.3
579,Leandro Trossard,18.7
580,José Izquierdo,4.4
581,Billy Arce,0.66
582,Alireza Jahanbakhsh,5.5
583,Neal Maupay,22.0
584,Aaron Connolly,7.7
585,Jürgen Locadia,5.5
586,Danny Welbeck,4.4
587,Andi Zeqiri,2.75
588,Jan Mlakar,2.2
589,Florin Andone,2.2
590,Viktor Gyökeres,1.1
591,Lukasz Fabianski,1.65
592,Darren Randolph,1.65
593,David Martin,0.275
594,Issa Diop,19.8
595,Fabián Balbuena,5.5
596,Angelo Ogbonna,2.75
597,Winston Reid,1.65
598,Frederik Alves,1.1
599,Arthur Masuaku,7.7
600,Aaron Cresswell,5.5
601,Vladimir Coufal,13.2
602,Ben Johnson,3.3
603,Ryan Fredericks,2.75
604,Declan Rice,71.5
605,Tomas Soucek,44.0
606,Mark Noble,2.2
607,Pablo Fornals,19.8
608,Manuel Lanzini,11.0
609,Saïd Benrahma,24.2
610,Felipe Anderson,11.0
611,Jarrod Bowen,33.0
612,Andriy Yarmolenko,4.4
613,Xande Silva,0.88
614,Michail Antonio,13.2
